ARTICLE_NAME	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
Eric Brewer	0.000328144031283	0.000881127544947	0.000670300115711	0.000137383560333	0.000537644890116	0.000153466254527	0.0003028339307	0.015484401335	0.000391875559951	0.00207315211888	0.000466394641804	3.50278666332e-05	0.000359440837641	6.34409028371e-05	0.931120493708	0.000244088156102	0.0467507845459
Adam Gilchrist	0.000478039092579	8.3118407861e-05	0.000482059590912	0.000105669112483	0.000584586835814	0.0120026856254	0.000448410788284	0.00912242800672	0.000668795902996	0.0632079685095	0.0192392742347	0.000239727935671	0.00124231222048	3.75158938878e-05	0.694988501903	0.000139714937246	0.196929191002
Mary Toft	0.000459300434375	0.000156690059477	0.000518839959854	0.000163085263245	0.0164846996401	0.209912055582	0.0991811957338	0.000564698349999	0.00033789616395	0.0830473194594	0.00316743619967	0.000247929012406	0.0489118957213	0.120101438097	0.000209225963301	0.000280609730387	0.41625568463
Richard Cordray	9.52223565645e-05	0.138728305381	0.0629076528584	7.99625452105e-05	0.000735449835463	0.123369241389	0.000432541389	0.0387908255204	0.000138745943561	0.0217458480448	0.465072215013	0.000213504365736	0.000863316430262	4.32502590938e-05	0.0957248302269	9.82427899616e-05	0.0509608456522
Faryl Smith	0.000190444375964	0.00014542775548	0.0148337301233	7.52253770554e-05	0.000637423278291	0.000248578370262	0.000706334913222	0.266946750373	0.414005929766	0.00753498703345	0.000208342006714	0.000136151660705	0.00156602699018	0.000109490922042	0.0444322001605	9.68647827277e-05	0.248126092111
Ernest Hemingway	0.0191267245676	0.000223175499807	0.000846626599559	0.0490577650738	0.0611690676297	0.0243873171985	0.184583417927	0.00262530964808	0.00691500813877	0.259440103894	0.00579724133706	6.12126302531e-05	0.000254432864526	0.00258526855908	0.0129293400912	0.0370385034299	0.332959484911
Dudley Clarke	0.000281399186753	0.0318166658428	0.0552713149548	0.023765789998	0.0245583352913	0.046030680476	0.0541376938112	0.0213419643202	0.000193125169993	0.0422818641555	0.000639472531642	0.000377769081851	0.00039275713301	5.32076314956e-05	0.00190423338278	0.344814993535	0.352138733498
Howie Morenz	0.00014285771538	0.000884383305202	0.000558456977493	0.000273854824119	0.000175376320005	0.000710840973717	0.000200478561925	0.00282728173063	0.000364447442855	0.133260262093	0.000255200013264	0.000146199422458	0.000902399003308	7.5232442164e-05	0.719245783537	0.000340627183936	0.139636318453
Stamata Revithi	0.000606555388785	0.000342404763993	0.005177236929	0.000861810937874	0.000823290679186	0.104977791166	0.000590304140099	0.0054218572339	0.000269053953316	0.13624190753	0.00638006234722	0.00361047250114	0.00150164341725	0.000203430779144	0.303066054572	0.000793709616988	0.429132414045
Chester A. Arthur	0.000732055694789	0.0597175280966	0.00471852340052	0.0152723345456	0.000340133693852	0.0313604805445	0.000160259996186	0.000747099008675	0.000129294266249	0.124491206904	0.416690923446	0.00190286554922	0.021699717509	7.35516750726e-05	0.000421429279408	0.019729828254	0.301812768137
Ba Cut	0.00237235742361	0.0139490798395	0.000389561676236	7.18696865096e-05	0.0044378790495	0.0610316355973	0.000890379267481	0.0037205151105	0.000803358745536	0.00524897620934	0.161073193747	0.0159484950993	0.231725195025	0.000127393201485	0.000363881015857	0.243931998386	0.253914230919
Colley Cibber	0.00183499811567	0.0263182143131	0.000619655159083	1.85823097808e-05	0.0136214513095	0.00684935822927	0.182072389831	0.157872296421	0.00331104616131	0.0333711720474	0.000831326253902	0.00117176002661	0.0598415909148	0.000224754753841	0.0225070397936	0.000675063573346	0.488859300786
E. Urner Goodman	0.000546941047922	0.0411165623436	0.309586548881	0.00015753153846	0.000706815998943	0.000156136885761	0.0396403442636	0.0434728811215	0.0306037247642	0.112381560124	0.0689463478786	0.069075705439	0.000543268045364	0.000135573782729	0.00102395697776	0.0757520315781	0.206154069329
Peter Jeffrey (RAAF officer)	0.00062814322753	0.0216801251212	0.00264982712034	0.23329662584	0.00358406972197	0.00144606076923	0.00114409135775	0.00142990470116	0.00053977176241	0.0804616273129	0.00344994090056	0.000343271050049	0.00402717551733	0.000227885939035	0.0171455526662	0.450052233974	0.177893693018
