	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
Abraham Senior	0.0201809514415	0.0546860979362333	0.01879771574119	0.00358898693121267	0.0109488571965413	0.00440224880912933	0.0168447871672587	0.0385665084810333	0.002560705330373	0.00329671919448	0.0486119695061	0.189516370945667	0.133522905266333	0.000192525634527333	0.001517233179616	0.0145183391079673	0.438247078131
Admiral Graf Spee	6.86365595159e-05	0.00493966463830333	0.00945548021083667	0.184936266987	0.00193983331875433	0.0352492831755333	0.01231994312939	0.00948074211396	0.000396253119845667	0.03097822027258	0.0117647909333333	7.04576494613e-05	0.001760999223405	0.081466523838198	0.0157571502242333	0.288835241214333	0.310580513391333
Agustín Pedro Justo	0.000389539532521	0.087002146485	0.02707942149072	7.84837614505667e-05	0.00232719421101833	0.0398815484124	0.0112248776038333	0.004049396322177	0.000274663475845	0.00412346627190333	0.473849566498	8.07392521596667e-05	0.00564163162775867	0.00596752995707	0.0174538246062667	0.0939387361270333	0.226637234365
Akenatón	0.0695944853266333	0.00685672464237	0.0116651017316767	7.07931484887667e-05	0.0626331730451333	7.27014313377e-05	0.0162550105725843	0.008222657205581	0.00664127014153	0.0380127855700333	0.00770785576731633	0.135282883163367	0.1564855981654	0.0244219018964333	0.006528822166453	0.000189594228915767	0.449358641797
Alcibíades	6.43474150372e-05	3.69735512518333e-05	0.00386739349777767	0.0235514119387	0.02988669154293	0.0275243343994333	0.0359310064105333	0.01089392698871	0.000685777596552667	0.0150824422233067	0.0436164815580667	0.0103235885017702	0.123287859137941	0.00694053003616298	0.0132547711666667	0.181245893318333	0.473806570716667
Andrés Manuel del Río	0.00607152257642633	0.00337258161300667	0.195584532198667	0.0721373543861667	0.0113438955681433	0.00277244065584333	0.0249291030222567	0.00211837366371	0.00124803238975333	0.00310087204600333	0.0585874426576	0.0128794475574743	0.0334017353999333	0.286888990065333	0.0157684395665333	0.00313065407408667	0.266664582559
Andrónico I Comneno	0.000335441516497667	0.00163589154464	0.000160969660772	0.00457634891824933	0.000129976332669067	0.0395786351910667	0.00379749951367333	0.00104813257821033	0.0002681861823724	0.0948451833358974	0.0251928868108333	0.0127374912632033	0.300676646531667	8.44353312291333e-05	0.00717242232740333	0.1293341013173	0.378425751644667
Aníbal	0.00655394823734667	0.00102911151269533	0.0194423616858333	0.0267919979248333	0.00725303046639	0.000156777895667967	0.0475744067137667	0.0235041478900667	6.22449047475333e-05	0.0138406163331507	0.00706666691948	0.0217136253723233	0.114367494505977	0.0016941609862096	0.00877385059431	0.300420838312333	0.399754719745
Antínoo	0.254019446824	0.000181999084385	0.00122554367887267	0.000170158338467933	0.0217629592411133	0.00474722545743833	0.0504713490458333	0.0105491106506833	0.000223562911916667	0.045955121170922	0.0001333191458978	0.0973747031988	0.0326602163858167	0.00323328584389967	0.00734697233596	0.000140321076130167	0.469804705609667
Antoni Gaudí	0.540798905314333	0.0136898852733	0.0283374337182167	0.0012276854160096	0.0221255350740333	0.00162455069020667	0.009853651562184	0.0143555137305067	0.000927067915914	0.0234787268227633	0.001476958104534	0.0458822981587667	0.00967948063606	0.0526728476055	0.0246522065514	0.00349237328261467	0.205724880143333
Arquímedes	0.0223026066304667	7.48108649626667e-05	0.0070986998675	0.0224280760984333	0.000239071624280533	0.000889102070640333	0.0776457780105667	0.0617854038722	0.000129296591358733	0.0293504727589383	0.007991238823272	0.0336104966198587	0.0134970905516245	0.367932691898	0.0251458145076333	0.0250114161339933	0.304867933076333
Arturo Frondizi	0.00216105917984737	0.086460570678	0.0733547213477333	0.0007093769143691	0.00931837133057	0.0422661416315667	0.0313006517258	0.081601780412	0.000932586108296	0.00958354968928667	0.333153549514667	0.00141883360267467	0.001261234283218	0.0198891952237567	0.0221263558	0.0164267211668933	0.268035301391667
Baltasar Gracián	0.0452855424654667	6.69310014379e-05	0.00780913375060333	0.00372428243981133	0.223241899675	0.001457076542489	0.278229041283333	0.00629231274756667	0.0001224503034285	0.0142959432540193	0.000449701551207333	0.0790352815347	0.0169980280088333	0.00837191656434667	0.00656196453184767	0.00571192285529	0.302346571490333
Bartolomé Esteban Murillo	0.420357137796	0.0111430170666	0.00121375640950233	0.00159802922396473	0.00673923009599667	0.000721473099525	0.0253226748196267	0.00801132552562667	0.00416371095428603	0.0774401945394667	0.00171821516653	0.126521633427	0.0242340701008333	0.000236189955832333	0.00155694777082133	0.000785716866417	0.288236677182
Bedřich Smetana	0.0170752356909333	0.0104345996088667	0.0338526640729333	0.00318592951658	0.0127593057348333	7.12276614858333e-05	0.0743057669353667	0.0219056510976367	0.27986990924	0.146385225608333	0.0677771478129333	0.00210125172446877	0.0196160800817333	8.17859069907333e-05	0.00964668588550333	0.0032228358808	0.297708697541333
Bob Dylan	0.00366901041204933	5.68517859481333e-05	0.0138824003989333	9.17234824039333e-05	0.00666516374685	0.00823244745871667	0.126084263476333	0.141841465686	0.400037252249667	0.0298482827652	0.03673166007349	0.0135699915238267	5.4056887052e-05	0.000731836941709	0.00873976322095	8.60895265059667e-05	0.209677740364333
Calígula	0.0157633553252268	0.0039807875442243	0.0158065355482533	0.0206817885026927	0.013678468061084	0.0654321424659667	0.0788699559609	0.0599891417343667	0.000153402359160667	0.0666508238716	0.0195803915744	0.0395183862042217	0.163379335006533	0.00429107160210667	0.00114284022716733	0.0731597117468	0.357921862265667
Cao Yu	0.0332236123911667	0.000369763654961333	0.0783506883569	0.00436402874750167	0.0166915847190867	0.000212235694506333	0.351207665377333	0.0865457150108667	0.00206399672382333	0.0581039061296667	0.146426052640667	0.000226361592482667	0.0112235217039127	0.004976521168597	0.000721235664166667	0.00186141795091667	0.203431692473667
Catón el Viejo	0.004377936947673	0.0208375236721	0.00212693154184667	4.91822217884e-05	0.0454608370254333	0.000539856793058167	0.0486137727106667	0.00941531718047833	0.000101169905582367	0.0465630691748333	0.0562756289627333	0.0458343759780393	0.102775783584189	0.0028777321386496	0.0136714400764067	0.138050233341533	0.462429208745333
César Augusto	0.01106658731384	0.0356012475539333	0.001335544136541	0.000717657517319667	0.0167755728661333	0.01131537090074	0.01538722237598	0.0307404801041667	6.12751463650333e-05	0.0105149437049167	0.0691659709211	0.0222717854265268	0.197776342883067	0.0024977509042403	0.0108356025884867	0.14135791060035	0.422578735056333
Claudio de Lorena	0.539535624953	8.66999974196333e-05	0.00667464057771667	0.0278184002161	0.0492933443464	4.38326276899e-05	0.0494364696066333	0.0102607433483767	0.00255781521825667	0.0313374946965067	0.000142360185160233	0.0225369891479	0.0210234115715333	0.0165616492589667	0.00840395490840667	0.00270873571390333	0.211577833626
Cosmo Gordon Lang	0.00675157060764567	0.0124439823394667	0.0716868286117667	0.000555161864545233	0.0215914899845667	0.00220681851990333	0.0491166985079667	0.0594275858019	0.00210368642483767	0.0735418882729667	0.119535176876	0.206304442583667	0.0564933705353333	0.0005497422377632	0.00900594565008	0.00684214972173	0.30184346146
Cráter Silverpit	0.000401334750408667	0.0120930489852667	0.00101334297600833	0.0748463082659	0.0117826191678	0.000273466409904333	0.000242096908826333	0.0112465988922033	0.000804024283586	0.00839710145534667	0.001204056305111	0.000155463512741033	0.000144331373657333	0.538843325757667	0.0238888153321667	0.0151738269371643	0.299490238686333
Cristóbal Colón	0.0113037387855167	0.00388132873058233	0.0263307740473333	0.222793978327	0.0158912285012	0.01440806445286	0.1037814124737	0.0558041908394667	0.00493339288431667	0.0186882191344707	0.0189095900127493	0.0466306796424667	0.0529189386007667	0.0129163656362567	0.0131987759035	0.00996137747876333	0.367647944549
David Ben-Gurión	0.000391005533388667	0.0331253959478	0.0290834191443667	0.0154440169919093	0.0340404740564667	0.000387361701267667	0.00922316311274067	0.002640306222154	0.000334236095282333	0.0583763284617667	0.426456498048	0.0140946017146233	0.000444550275099267	0.000177664240343333	0.0268436577250333	0.0464254243223667	0.302511896407333
Demóstenes	0.00303563016095	0.00396009957928667	0.0223652674757333	0.000249834746825833	0.0443514108161667	0.0523012961733	0.0592090617110333	0.0250442365594333	0.000961655499359667	0.0312283103371	0.0666889473297	0.023122876368695	0.0843141019861891	0.00342731509355173	0.0314644541552	0.0589222697750933	0.489353232232333
Diego Velázquez	0.470514058731667	0.00234701640769667	0.00807689782417333	0.0005748452079337	0.0176064239746667	8.44168915303e-05	0.0591306222224333	0.0112180904464	0.00156884035291467	0.025860453932306	0.0001243261108067	0.0231241915983667	0.0793855093785333	0.000523616717420667	0.00538991989037333	0.00770781292119667	0.286762957391667
Epaminondas	0.00847882828161247	0.000340428572084	0.0111083262695933	0.000137812116748567	0.0385516303397667	0.000316354278884667	0.0296693307809633	0.0124329613291667	0.000135469217068	0.00304834671547667	0.0411692665978333	0.0166121456426209	0.144365757560138	0.005904618148479	0.0173127329369333	0.235710364806933	0.434705626406
Ernesto Guevara	0.000292065917052933	0.016678253164	0.0327680126923663	0.0263969578278	0.0371194370531667	0.106432687959967	0.0298897094363667	0.0244156427246667	0.01183414377054	0.109978451283633	0.150285213221667	0.00238607018079	4.43472976717667e-05	0.00627852378464433	0.0100787638684667	0.118860560425	0.316261159392
