ARTICLE_NAME	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
Porfirio Díaz	0.00999593251376	0.0771352887997	0.025718368221	0.00398992154365	0.0136317579096	0.0252270822112	0.0296962435783	0.0531876723378	0.00203931173196	0.0470658143271	0.230284039302	0.0204106126645	0.0201530999557	0.00150337115898	0.0217292867826	0.156573127789	0.261659069173
Epaminondas	0.0128005470246	0.000159141569318	0.020069087187	0.000168476034045	0.016098772909	0.000355992428911	0.0422198971122	0.000264735646972	0.000164996041152	0.00503042518907	0.0256443822642	0.00191921131007	0.000113785429515	0.0172395127846	0.0223347373524	0.249123529793	0.586292769924
Sor Juana Inés de la Cruz	0.0152016935901	0.000137484084302	0.000688948259915	0.000986428233988	0.146123511623	0.00800985427518	0.297526778557	0.00800691150543	0.019782719976	0.0440189904746	0.000104063483294	0.155455267273	0.0366622071773	0.00174981448622	0.000227276733123	0.00656078056467	0.258757269702
José María Morelos	7.53406789826e-05	0.00451181290034	0.00126182529527	0.000165858635044	0.00655838541064	0.0524851541486	0.0660045659169	0.0218826031251	0.00211600536485	0.0463909183526	0.0408825636616	0.0952741082788	0.0362878568571	0.000275974574154	0.00982055585937	0.407171004618	0.208835466322
Tutankamón	0.0745077976679	0.000970970868616	0.00433891893295	0.0220132824022	0.0447085599202	0.0162977705818	0.000101728379951	0.0024241651306	0.000754407625514	0.0837847284021	0.00213917659329	0.000772571093028	0.111726967918	0.0582732402384	0.00151382996988	0.000878073735223	0.574793810541
Rudolf von Ihering	0.000697238424114	0.0054702233963	0.0241106736822	4.41191064453e-05	0.503899132215	0.0176100667055	0.0455722192763	0.0010834667714	0.000317345116074	0.00935241761259	0.0206936227549	0.00304886841523	0.0290541660282	2.14534285929e-05	0.0249615834034	0.000267766647293	0.313795637017
Ramón Santamarina	0.0259756958273	0.0966841434405	0.0302515263495	0.0346766800386	7.4339126625e-05	0.0015707886429	0.0452956032152	0.0395261121647	0.000897031715507	0.271567742383	0.0501398766839	0.0047192406205	0.00933411803606	0.0151538899111	0.000967811226509	0.0263781049267	0.346787295691
Vasco Núñez de Balboa	0.000233525591104	0.0012286493259	0.000525167198236	0.388701025756	4.52327819602e-05	0.0478166915057	0.000866685910165	0.000290084399624	0.000171740058009	0.0475447664778	0.00707313500681	0.0102918876842	0.0220020672497	5.49879751928e-05	0.0214517434715	0.140003178293	0.311699431315
Baltasar Gracián	0.0456794711099	4.58476994227e-05	0.0085294786908	0.00903476435123	0.205062530154	0.00127575433735	0.317844834844	0.0039989972081	9.85455298685e-05	0.0260896493315	0.00067730269701	0.0731496036574	0.0182113695895	0.0159318801608	0.0114682947684	0.00274979917692	0.260151876694
Reinado de Isabel II de España	0.00809096279892	0.130125833582	0.00101716691855	6.14336506222e-05	0.0395815006357	0.000211891532586	0.0119288039587	0.000213656870297	6.36986131019e-05	0.000724241087552	0.299241538267	0.0114810586559	0.0791923032835	0.0219341334646	0.0389634099316	0.0812928205519	0.275875546197
