ARTICLE_NAME	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
Eric Brewer	0.00037895268238		0.000610312923957	0.000128721512369	0.000429899994594	0.000152731719866	0.000401535121526	0.0132533727365	0.000234981292024	0.00431835026211	0.00050179039714	7.19080364333e-05	0.000319615157837	8.64043115031e-05	0.933199191687	7.84374874846e-05	0.0458337946768
Adam Gilchrist	0.000317556860238		0.000592140560799	0.000248753588435	0.000177252933538	0.0171163575426	0.000239646808409	0.00326382231488	0.00040241958057	0.0399826285455	0.0244707165296	0.000506619930519	0.000574460659213	0.000205993866775	0.718041576105	0.000109778361536	0.193750275812
Mary Toft	0.0031697006258		0.000379771650529	0.000386479906281	0.00885590532823	0.200035297573	0.101003570358	0.000932373674893	0.000487144114596	0.114981462534	0.0193897466083	0.00016732270029	0.0436537501677	0.115651362518	0.000256658124793	7.43070200736e-05	0.390575147095
Richard Cordray	0.000192259963842		0.0827089982133	0.000498579459974	0.00214418406427	0.109804711933	0.000394050948792	0.0261373301027	0.000188168240634	0.0291909724025	0.558330149752	0.000133283790635	0.000628870134353	0.000294642131826	0.084064024212	0.000303563337568	0.104986211313
Faryl Smith	0.000149867866752		0.0177583366022	0.000201594794064	0.000362026452516	0.000208895360125	0.00322550233813	0.267557288922	0.420141637859	0.00865472009802	0.00040320193958	8.00549090956e-05	0.00185192811338	0.000154483235517	0.0466224895161	6.78942238458e-05	0.232560077769
Ernest Hemingway	0.0234128988579		0.000996573585162	0.0353719354728	0.0568435626742	0.0382299768443	0.184638855976	0.00540202037586	0.00599561846607	0.26436379626	0.00884700608358	5.57707331318e-05	0.000160908226448	0.00292270875483	0.0161898254298	0.042661840852	0.313906701407
Dudley Clarke	0.000799520517755		0.0695197403044	0.0114612293898	0.0212036309175	0.0539827929522	0.0512481997841	0.0179263967679	0.0002686419265	0.0257791617309	0.0307182211243	7.66380660222e-05	0.000418227561349	0.0128446015065	0.00112805797007	0.321556019676	0.381068919804
Howie Morenz	0.000466048103949		0.000486442461127	0.00101242352001	0.000221269711466	0.00439459301684	0.000194890054606	0.00377199359104	0.00029969084219	0.121009954655	0.00221963067564	5.06441877552e-05	0.000443325746042	0.000632214732657	0.723851069259	0.00219922314577	0.138746586297
Stamata Revithi	0.000350632918458		0.00646051665186	0.00102430915087	0.000600404157455	0.1209566587	0.00198566998989	0.00503185410026	0.000233339044274	0.144589610179	0.00446723205637	0.00455273340713	0.00123865548627	0.000467502820249	0.304653043159	0.000342729390671	0.403045108788
Chester A. Arthur	0.00111043599562		0.0166645710841	0.0235238917022	0.000111429845493	0.0315395079537	0.000189633189837	0.000722915949894	0.000274674571403	0.113363565835	0.419941590149	0.00992883745955	0.0250149224151	0.0127652634582	0.000230813429593	0.0243525090645	0.320265437897
Ba Cut	0.00371345684168		0.000250350219894	0.00218894306936	0.00144034473319	0.0529438645118	0.000619720606337	0.00233672610532	0.00136409574363	0.00233732141884	0.297396544123	0.0134415067736	0.184089140591	0.0026105067297	0.000361788103074	0.164514942849	0.27039074758
Colley Cibber	0.00912975342329		0.000712874803565	5.32453557236e-05	0.0187964272947	0.00589112942724	0.22282743148	0.158150300834	0.00156961725395	0.0381393075476	0.0173118279441	0.00180393677768	0.048677252308	0.0216819936321	0.023738042298	0.000302052288611	0.431214807332
E. Urner Goodman	0.000935991784452		0.33642782579	0.00783718981275	0.00393536921932	0.000546027734918	0.0464150609524	0.0631128179337	0.0269622816147	0.0908488541625	0.102449363665	0.0674582670737	0.000467227125649	0.00156167963697	0.00118120987746	0.0466900547898	0.203170778827
Peter Jeffrey (RAAF officer)	0.000230533466832		0.00941816570058	0.00635979935689	0.00268896775991	0.00237461743793	0.000714550053915	0.000671837714294	0.011468489812	0.0842000823248	0.00338002304975	8.25533337508e-05	0.0032096802138	0.039791182999	0.0100942599797	0.633094576938	0.192220679859
Avery Brundage	0.0241292488632		0.0385464394735	0.0110505950525	0.00285954124694	0.0353269412174	0.00380857557194	0.0125135967481	0.000646975603684	0.060725548113	0.253589009399	0.00019399845627	0.0115759446488	0.0168356843809	0.156063469407	0.000136345319809	0.371998086498
Raymond Brownell	0.00019103374251		0.122444904638	0.0664516691886	0.000388952861648	0.000626983093112	0.000535230831508	0.00191903823267	0.000283009133289	0.106477563539	0.00253289933293	0.000304950936078	0.000980146968471	0.032733076834	0.00633707683617	0.591816163441	0.0659773003919
Peter Jones (missionary)	0.0125087216382		0.0494407796781	0.151632092252	0.000509421254431	0.000377210109494	0.00953521450178	0.0148969158759	0.0476907294917	0.170076869313	0.060800651379	0.135433075731	0.0602008480067	0.0102531070236	0.000703316434485	0.000682489421439	0.275258557888
Epaminondas	0.000740418999779		0.00777051352701	0.0116399891133	0.0316310792698	0.000947389273544	0.0871385997876	0.00227171438305	0.00447928445734	0.00606833308966	0.104834111304	0.000622161863865	0.404642133457	0.00278176952808	0.00269656114881	0.00388713862509	0.327848802172
William III of England	0.00274964491511		0.0112274792496	0.0046786154286	0.00016980562049	0.0126380705266	0.00709031982085	0.012060657703	0.000879118415366	0.00419612900351	0.0960260260581	0.017881659491	0.470866824261	0.000136253191261	0.000670051578551	0.00285701082957	0.355872333907
Godsmack	0.000116071930725		0.000846684486036	0.000144811866142	0.00469651021927	0.00120599505669	0.00119313060437	0.00332646163388	0.731459174211	0.00045702834807	0.00264106733611	0.000296007199119	0.000385796357185	0.0056702515407	0.000735228561129	0.0135119943013	0.233313786348
Otto Becher	0.000445446926119		0.0783614225684	0.13811864364	0.000229288889996	0.0181087778173	0.0004524435905	0.0137679530837	0.00062994348547	0.0390247560055	0.0022554497263	0.000359918189898	0.00095961097507	0.01547130536	0.00239284167955	0.569613135271	0.119809062791
Sam Loxton	0.000775852135411		0.000501580885029	0.00135292935428	0.000235062943426	0.000362533247445	0.0003970267843	0.000443262777538	0.000840642174512	0.105964869571	0.07304426223	3.37449675645e-05	0.000123029263277	0.000314010209511	0.571543050031	0.0166486163797	0.227419527046
Bart King	0.00118767984847		0.00201117294595	0.000327134446898	0.000207089567235	0.00159781923241	0.00724584929241	0.0013422001303	0.00125445291766	0.236730944055	0.000903518779746	5.554802313e-05	0.000860110469569	0.000141546166858	0.469272136184	0.00031144704802	0.276551350892
Stan Coveleski	0.000157673886646		0.000530871775848	0.000171211221544	9.46960742709e-05	0.000444637017374	0.00151284917235	0.000723497496511	0.000745393740651	0.122578613181	0.000689948094066	4.33408083539e-05	0.000537895122401	0.00273821169156	0.735286155553	0.000112314405284	0.133632690759
Pixies	0.00215144397723		0.0100185311002	0.000180334194703	0.0145153972719	0.00533847176136	0.0117946453587	0.0169529399019	0.654825784962	0.0141793282854	0.000265561278722	0.00035066841967	0.00116222638745	0.0151545587196	0.000468031644019	0.000150512131793	0.252491564605
