ARTICLE_NAME	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
Porfirio Díaz	0.00940003059213		0.0167126699939	0.0139122452222	0.0164744124679	0.0237174881571	0.014186513593	0.06792631938	0.00214800701739	0.0651640005202	0.3100936959	0.017537703839	0.0219768901309	0.000372622207049	0.0104812074267	0.11103540575	0.298860787803
Epaminondas	0.012612906651		0.011312135545	1.52311604717e-05	0.0462200330351	0.000381442280205	0.00689081527329	0.0366641555344	0.00013871356457	0.00215691028682	0.0176286402962	8.18518298928e-05	0.402769630481	3.1160245409e-05	0.0137505118658	0.0816922955348	0.367653566416
Sor Juana Inés de la Cruz	0.0236064322788		0.00018992624305	0.00355865401999	0.168153304984	0.000615147757751	0.19868802246	0.00984482957535	0.0162862116081	0.0595936364493	0.000361945739163	0.111223773174	0.0303565309077	0.000830907912066	0.000141515407388	0.000617449463541	0.37593171202
José María Morelos	0.000180640691219		0.000390877173069	0.0272835311395	0.00164932227312	0.0518635854967	0.0376907116652	0.0350316680223	0.000316798997462	0.053961836549	0.059339108343	0.0775985938978	0.0655820659107	1.24529856935e-05	0.000937942565868	0.287696310299	0.30046455399
Tutankamón	0.063278692056		0.000630107695517	0.0199384353871	0.00710214833153	0.00536996661871	7.95780507577e-05	0.00163941623587	0.00123940612961	0.0781714237006	0.0248622025633	1.62030579259e-05	0.179072804332	0.0434621224265	0.00516637936597	0.0194852175113	0.550485896537
Rudolf von Ihering	0.000895432662137		0.0363452794131	9.3258565291e-05	0.489183733574	0.0145680987916	0.000802048954693	0.00465721792898	0.000491802012411	0.00292597366069	0.0238490180171	0.00424933311473	0.0266378066394	9.4441940034e-05	0.0173978480137	8.01289594648e-05	0.377728577753
Ramón Santamarina	0.0309462604081		0.0257141810334	0.0564522878459	3.861734319e-05	0.00892138204105	0.00189421395553	0.101723855286	0.00201223498524	0.29029872875	0.0902987781346	0.0064331868083	0.00704424440201	0.00236078284831	0.000682495139375	0.0206911801739	0.354487570845
Vasco Núñez de Balboa	0.000483213796609		0.000514679079493	0.419820818926	5.81178859331e-05	0.0533536629231	0.000187727181319	0.00189710459676	0.000659828176446	0.0502100413524	0.00101174160202	0.0152309455658	0.158631709226	0.000171385155969	0.00253612215573	0.0174139897243	0.277818912652
Baltasar Gracián	0.0498487529679		0.00399089261471	0.00151717659677	0.243468167624	0.000149231926037	0.225392623382	0.0119672093023	0.000147786215862	0.0165087317385	0.000187205580882	0.0618255316767	0.0161065086804	0.00034704268028	0.000869208759653	0.00384085416345	0.36383307609
Reinado de Isabel II de España	0.0131576676089		0.00581147879134	0.000287090588948	0.0553722197505	0.0003241912559	0.00067630742163	0.00021565701402	8.41310842122e-05	0.00210179539245	0.411126160044	0.00639799191708	0.091149019715	0.00831213967682	0.0212553754567	0.0312833220708	0.352445452211
Nikolái Rimski-Kórsakov	0.021725860887		0.0461498527496	0.0198431765457	0.0494292256958	9.91892867478e-05	0.0417466099417	0.00919508636784	0.313088997974	0.0708766318836	0.0443381330192	4.16878173276e-05	0.00143765553507	0.000434221860903	0.00072760891181	0.0098252932678	0.371040768256
María Teresa I de Austria	0.00910672716483		0.00236287603727	2.76180353165e-05	0.0123011355022	0.000545083043006	0.00594473734648	0.0165266085498	0.00328059753236	0.0586037471409	0.0858514759629	0.0434687681021	0.431969771864	1.43918010564e-05	0.00719458856159	0.00225560615	0.320546267206
