Topic_Id	Primary	Secondary
2	X_?2	
8	X_?8	
22	X_?22	
23	X_23	
10	Art	Architecture
25	Art	Painting,_photography_and_sculpture
9	Business_and_economics	
16	Exploration	
24	Life	Family
17	X_History	European/Medieval
3	X_Philosophy_and_Humanism	
1	Law_and_crime	
13	Law_and_crime	
4	Life	
12	Literature	
18	Literature	
19	Music	Classical_and_Jazz
28	Music	Popular
6	Politics	
7	Politics	
27	Popular_culture	
20	Science_and_technology	Academia_and_Research
21	Science_and_technology	Technology
5	Sports	Soccer
11	Sports	Wresting_and_boxing
14	Sports	
26	Sports	
0	TV_and_film	TV
15	TV_and_film	Film
29	War_and_military	
