Topic_Id	Primary	Secondary
3	X_?3	
4	X_?4	
7	X_?7	
25	X_?25	
23	Art	Painting
16	Business_and_economics	
0	Life	Education
19	Exploration	
6	X_History	
20	X_History	Latin_America
21	Law_and_crime	
9	Life	
17	Life	
15	Literature	
27	Literature	
8	Music	Popular
14	Music	Classical
29	Music	Popular
10	Politics	
1	Popular_culture	
5	Science_and_technology	
28	Science_and_technology	Research
2	Sports	Racing
11	Sports	American
12	Sports	Olympics/International
13	Sports	Boxing
24	Sports	Soccer
18	TV_and_film	TV
22	TV_and_film	Film
26	War_and_military	
