titles that made the query fail:
Richard Wagner	SPA
9/11 Commission	ENG
Louis Philippe, Crown Prince of Belgium	ENG
Princess Margarita of Greece and Denmark	ENG
Eugénie de Montijo	ENG
Gabriel Erkoreka	ENG
M/S Estonia	SPA
Texas A&M Aggies	ENG
Texas A&M Aggies	SPA
Frederick William, Elector of Brandenburg	ENG
Princess Hilda of Nassau	ENG
Earth, Wind & Fire	ENG
Earth, Wind & Fire	SPA
Rosalía Lombardo	SPA
Chuck Jackson (R&B singer)	ENG
Wolfgang Kapp	SPA
Robin Hobb	SPA
Jon de Cortina	ENG
Jaime Zea	SPA
C+C Music Factory	ENG
C+C Music Factory	SPA
Prince Philippe, Count of Flanders	ENG
Categoría:Gobernantes de Pakistán	SPA
Wolfe+585, Senior	ENG
Wolfe+585, Padre	SPA
Nur Hossain	ENG
9/11 conspiracy theories	ENG
112 (R&B group)	ENG
The Wild, the Innocent & the E Street Shuffle	ENG
Usuario:Jatrobat/Diosdado González Marrero	SPA
K-Ci & Jojo	SPA
Paul Young (Mike + The Mechanics)	ENG
Prince George of Greece and Denmark	ENG
Prince Mircea of Romania	ENG
Prince Nicholas of Romania	ENG
Ernesto Calzadilla	SPA
Princess Ludovika of Bavaria	ENG
Wu Tsing-Fong	ENG
Claudio Abbado	SPA
Don Taylor (actor/director)	ENG
Uri Caine	SPA
Frederick VI of Denmark	ENG
Abdullah bin Khalifa Al Thani	ENG
Toot & Puddle	SPA
Igudesman & Joo	SPA
Countess Franziska Kinsky of Wchinitz and Tettau	ENG
Dan Abnett	SPA
Prince Kiril of Bulgaria	ENG
Rocky Sharpe & The Replays	SPA
Steven Erikson	SPA
Louise of Sweden	ENG
Fortnum & Mason	SPA
Hootie & The Blowfish	SPA
Afonso VI of Portugal	ENG
James Rossiter	ENG
Ludwig van Beethoven	SPA
Frederick III of Denmark	ENG
Sukaphaa	ENG
Blood, Sweat & Tears	ENG
Pablo Atchugarry	SPA
Blood, Sweat & Tears	SPA
8th & Ocean	SPA
Baby Rasta & Gringo	SPA
Enrique Brüning	SPA
Erica Leerhsen	SPA
A+ (rapper)	ENG
Leopold I, Holy Roman Emperor	ENG
Shu Sato & Kei Sato	ENG
