Chunk	Total	ok_eng	bad_eng	ok_spa	bad_spa
0	190	190	0	190	0
1	184	184	0	184	0
10	180	180	0	180	0
100	184	184	0	184	0
101	194	194	0	194	0
102	190	190	0	190	0
103	189	189	0	189	0
104	184	184	0	184	0
105	181	181	0	181	0
106	188	188	0	188	0
107	187	187	0	187	0
108	189	189	0	188	1
109	196	196	0	196	0
11	186	186	0	186	0
110	176	176	0	176	0
111	181	181	0	181	0
112	188	188	0	188	0
113	180	180	0	180	0
114	179	179	0	179	0
115	183	183	0	183	0
116	192	192	0	192	0
117	190	190	0	190	0
118	185	185	0	185	0
119	186	186	0	186	0
12	183	183	0	183	0
120	182	181	1	182	0
121	188	188	0	188	0
122	187	187	0	187	0
123	180	179	1	180	0
124	187	187	0	187	0
125	189	189	0	189	0
126	181	181	0	181	0
127	183	183	0	183	0
128	187	187	0	187	0
129	194	194	0	194	0
13	180	180	0	180	0
130	188	188	0	188	0
131	182	182	0	182	0
132	184	184	0	184	0
133	185	185	0	185	0
134	184	183	1	184	0
135	184	184	0	184	0
136	186	186	0	186	0
137	182	182	0	182	0
138	178	178	0	178	0
139	187	187	0	187	0
14	189	189	0	189	0
140	183	183	0	183	0
141	187	187	0	187	0
142	179	179	0	179	0
143	187	187	0	187	0
144	183	183	0	183	0
145	185	184	1	185	0
146	183	183	0	182	1
147	193	193	0	193	0
148	187	186	1	186	1
149	180	179	1	180	0
15	192	192	0	192	0
150	186	186	0	186	0
151	188	188	0	188	0
152	187	187	0	187	0
153	193	193	0	193	0
154	186	186	0	186	0
155	192	192	0	192	0
156	191	191	0	191	0
157	187	187	0	187	0
158	186	186	0	186	0
159	183	183	0	183	0
16	189	189	0	189	0
160	185	185	0	185	0
161	185	185	0	185	0
162	188	187	1	188	0
163	184	184	0	184	0
164	182	182	0	182	0
165	185	185	0	185	0
166	183	183	0	183	0
167	184	183	1	183	1
168	189	189	0	189	0
169	188	188	0	188	0
17	188	188	0	188	0
170	187	187	0	187	0
171	185	185	0	185	0
172	189	189	0	189	0
173	185	185	0	185	0
174	187	187	0	187	0
175	188	188	0	188	0
176	186	186	0	186	0
177	187	187	0	187	0
178	180	180	0	180	0
179	184	184	0	184	0
18	186	186	0	186	0
180	192	192	0	192	0
181	185	185	0	185	0
182	183	183	0	182	1
183	188	188	0	188	0
184	184	184	0	184	0
185	187	186	1	187	0
186	188	188	0	188	0
187	180	180	0	180	0
188	180	180	0	180	0
189	193	193	0	193	0
19	188	188	0	188	0
190	186	186	0	186	0
191	195	195	0	195	0
192	188	188	0	188	0
193	189	189	0	189	0
194	183	183	0	183	0
195	179	179	0	179	0
196	186	186	0	186	0
197	178	178	0	178	0
198	178	178	0	178	0
199	190	190	0	190	0
2	180	180	0	180	0
20	188	188	0	188	0
200	187	187	0	187	0
201	183	183	0	183	0
202	186	186	0	186	0
203	189	189	0	189	0
204	188	188	0	188	0
205	183	183	0	183	0
206	185	185	0	185	0
207	183	183	0	183	0
208	185	185	0	185	0
209	185	185	0	185	0
21	185	185	0	185	0
210	185	185	0	185	0
211	180	180	0	180	0
212	185	185	0	185	0
213	187	187	0	187	0
214	185	185	0	185	0
215	188	188	0	188	0
216	185	185	0	185	0
217	184	184	0	184	0
218	180	180	0	180	0
219	182	182	0	182	0
22	185	185	0	185	0
220	192	192	0	192	0
221	186	186	0	186	0
222	179	179	0	179	0
223	180	180	0	180	0
224	184	184	0	184	0
225	186	186	0	186	0
226	187	187	0	187	0
227	180	180	0	180	0
228	189	189	0	189	0
229	190	190	0	189	1
23	193	193	0	193	0
230	184	184	0	184	0
231	184	184	0	184	0
232	185	185	0	185	0
233	185	185	0	185	0
234	184	184	0	184	0
235	189	189	0	189	0
236	184	184	0	184	0
237	186	186	0	186	0
238	187	187	0	187	0
239	182	182	0	182	0
24	181	181	0	181	0
240	184	184	0	184	0
241	183	183	0	183	0
242	187	187	0	186	1
243	186	186	0	186	0
244	189	189	0	189	0
245	184	184	0	184	0
246	185	185	0	185	0
247	189	189	0	189	0
248	188	188	0	188	0
249	183	183	0	183	0
25	186	186	0	186	0
250	177	177	0	177	0
251	184	184	0	184	0
252	194	194	0	194	0
253	183	183	0	183	0
254	182	182	0	182	0
255	183	182	1	183	0
256	180	180	0	179	1
257	184	183	1	183	1
258	186	186	0	186	0
259	184	184	0	184	0
26	184	184	0	184	0
260	190	190	0	190	0
261	186	186	0	186	0
262	186	186	0	186	0
263	183	182	1	183	0
264	187	187	0	186	1
265	185	185	0	185	0
266	180	180	0	180	0
267	185	185	0	185	0
268	192	192	0	192	0
269	183	183	0	183	0
27	184	184	0	184	0
270	187	187	0	187	0
271	185	185	0	185	0
272	179	179	0	179	0
273	181	181	0	181	0
274	194	194	0	194	0
275	186	186	0	186	0
276	191	191	0	191	0
277	185	184	1	184	1
278	187	187	0	187	0
279	183	183	0	183	0
28	179	179	0	179	0
280	188	188	0	188	0
281	191	191	0	191	0
282	189	189	0	189	0
283	185	185	0	185	0
284	182	182	0	182	0
285	180	180	0	180	0
286	184	184	0	184	0
287	185	185	0	185	0
288	186	186	0	186	0
289	178	178	0	178	0
29	186	186	0	186	0
290	183	183	0	183	0
291	189	189	0	189	0
292	185	185	0	185	0
293	182	182	0	182	0
294	189	189	0	189	0
295	182	182	0	182	0
296	182	182	0	182	0
297	191	191	0	191	0
298	180	179	1	180	0
299	184	184	0	184	0
3	185	185	0	185	0
30	184	184	0	184	0
300	185	185	0	185	0
301	190	190	0	190	0
302	183	183	0	183	0
303	185	185	0	185	0
304	184	184	0	184	0
305	182	182	0	182	0
306	194	194	0	194	0
307	184	184	0	184	0
308	193	193	0	193	0
309	182	181	1	182	0
31	188	188	0	188	0
310	194	194	0	194	0
311	179	179	0	179	0
312	185	185	0	185	0
313	191	191	0	191	0
314	186	186	0	186	0
315	187	187	0	187	0
316	189	189	0	189	0
317	192	191	1	192	0
318	186	186	0	186	0
319	184	184	0	184	0
32	189	189	0	189	0
320	188	188	0	188	0
321	185	185	0	184	1
322	186	186	0	186	0
323	187	187	0	187	0
324	182	182	0	182	0
325	186	186	0	186	0
326	186	186	0	186	0
327	179	179	0	178	1
328	186	186	0	186	0
329	183	183	0	183	0
33	182	182	0	182	0
330	186	186	0	186	0
331	182	182	0	182	0
332	183	183	0	183	0
333	187	187	0	187	0
334	186	185	1	186	0
335	182	182	0	182	0
336	189	189	0	189	0
337	184	184	0	184	0
338	186	186	0	186	0
339	191	191	0	191	0
34	187	187	0	187	0
340	183	183	0	183	0
341	183	183	0	183	0
342	186	185	1	186	0
343	179	179	0	179	0
344	181	180	1	181	0
345	179	179	0	179	0
346	188	187	1	188	0
347	185	185	0	185	0
348	174	174	0	174	0
349	180	180	0	180	0
35	186	186	0	186	0
350	186	186	0	186	0
351	179	179	0	179	0
352	184	184	0	184	0
353	190	190	0	190	0
354	186	186	0	186	0
355	178	178	0	178	0
356	186	186	0	186	0
357	185	185	0	185	0
358	182	182	0	182	0
359	181	181	0	181	0
36	196	196	0	196	0
360	184	184	0	184	0
361	183	183	0	183	0
362	183	183	0	183	0
363	184	184	0	184	0
364	182	182	0	182	0
365	185	185	0	185	0
366	178	178	0	178	0
367	191	191	0	191	0
368	179	179	0	179	0
369	183	183	0	183	0
37	184	184	0	184	0
370	187	187	0	187	0
371	189	189	0	189	0
372	185	185	0	184	1
373	186	186	0	186	0
374	182	182	0	182	0
375	185	185	0	185	0
376	186	185	1	186	0
377	187	187	0	187	0
378	190	190	0	190	0
379	188	188	0	188	0
38	182	182	0	182	0
380	187	187	0	187	0
381	176	176	0	176	0
382	183	183	0	183	0
383	184	184	0	184	0
384	186	186	0	186	0
385	185	185	0	185	0
386	187	187	0	187	0
387	185	185	0	185	0
388	185	185	0	185	0
389	181	181	0	181	0
39	189	189	0	189	0
390	190	190	0	190	0
391	194	194	0	194	0
392	185	185	0	185	0
393	187	187	0	187	0
394	184	184	0	184	0
395	191	190	1	191	0
396	185	185	0	185	0
397	181	181	0	181	0
398	189	189	0	189	0
399	187	187	0	187	0
4	192	192	0	191	1
40	188	188	0	188	0
400	186	186	0	186	0
401	182	182	0	182	0
402	179	179	0	179	0
403	184	184	0	184	0
404	189	189	0	189	0
405	190	190	0	190	0
406	182	182	0	182	0
407	187	187	0	187	0
408	187	187	0	187	0
409	185	185	0	185	0
41	184	184	0	184	0
410	187	187	0	187	0
411	192	192	0	192	0
412	185	185	0	185	0
413	182	182	0	182	0
414	185	185	0	185	0
415	185	185	0	185	0
416	182	182	0	182	0
417	186	186	0	186	0
418	184	184	0	184	0
419	187	187	0	187	0
42	188	188	0	188	0
420	180	180	0	180	0
421	178	177	1	178	0
422	182	182	0	182	0
423	186	186	0	186	0
424	186	186	0	186	0
425	181	181	0	181	0
426	193	193	0	193	0
427	186	186	0	186	0
428	194	194	0	194	0
429	187	187	0	187	0
43	187	187	0	186	1
430	182	181	1	182	0
431	189	188	1	189	0
432	181	181	0	180	1
433	180	180	0	180	0
434	189	189	0	189	0
435	187	187	0	187	0
436	182	182	0	182	0
437	185	185	0	185	0
438	189	189	0	189	0
439	194	194	0	194	0
44	184	184	0	184	0
440	182	182	0	182	0
441	183	183	0	183	0
442	184	184	0	184	0
443	185	185	0	185	0
444	184	184	0	184	0
445	188	188	0	187	1
446	185	185	0	185	0
447	186	186	0	186	0
448	175	175	0	175	0
449	187	186	1	187	0
45	186	186	0	186	0
450	185	185	0	185	0
451	184	184	0	184	0
452	188	188	0	188	0
453	184	184	0	184	0
454	183	183	0	183	0
455	190	190	0	190	0
456	187	187	0	187	0
457	192	192	0	192	0
458	185	185	0	185	0
459	181	181	0	181	0
46	188	188	0	188	0
460	186	186	0	186	0
