titles that made the query fail:
Tiffany SNSD	SPA
Tomy Dunster	SPA
Fernando Andreu	SPA
Martin Bouygues	SPA
Henry Barham	SPA
Matthew Hannan	SPA
Pirmin Strasser	SPA
María Hinojosa	SPA
Andrew Murray (Ministro Protestante)	SPA
Miles Jones	SPA
Luis Usera	SPA
Piotr Yermakov	SPA
Rehan	SPA
Alien Huang	SPA
Colin Ward	SPA
Karen Castiblanco Duarte	SPA
Rajagopal Krishnasamy	SPA
Benjamin Mako Hill	SPA
Raymond Unwin	SPA
Rosy Aguirre	SPA
John T. Graves	SPA
Alberto Maria Edmundo Guérisse	SPA
Erre XI (dúo)	SPA
Jillian Michaels	SPA
Helí Rolando de Tella y Cantos	SPA
Andrés de Olmos	SPA
Alekséi Peshjonov	SPA
Jorge Preca	SPA
John McConnell	SPA
Jose Ortiz El Buen Samaritano	SPA
Rafael Septién Michel	SPA
Poppy Miller	SPA
Pablo Balarezo Moncayo	SPA
Patrice Neveu	SPA
Solange Gómez	SPA
Zhanna Zhumaliyeva	SPA
Gavin Stenhouse	SPA
José María de Anguita	SPA
Josh Holmes	SPA
Alfonso Laurencic	SPA
Sylvie Goulard	SPA
Ramón Gallegos Nava	SPA
Renate Loll	SPA
Sungha Jung	SPA
Roberto de Villacis	SPA
Sonora Smart Dodd	SPA
Junji Itō	SPA
Hijo del Perro Aguayo	SPA
Pedro José Pinazo Arias	SPA
George Duran	SPA
Big Nick Nicholas	SPA
Javier Mazariegos	SPA
Sabine Dünser	ENG
Censorio	SPA
Peggy Santiglia	SPA
Óscar Rolando Hernández Madariaga	SPA
Camilo Romero (futbolista)	SPA
Richard Moreta Castillo	SPA
Último Guerrero	SPA
Johnny Jeter	SPA
Simon Lauru	SPA
Sonya Scarlet	SPA
Alexey Vladimir Bobrov	SPA
Manono II	ENG
Cercles des jeunes naturalistes	SPA
Sarbjit Singh Chadha	SPA
Damdinsürengiin Altangerel	SPA
Donald Evans	SPA
Tamara Ecclestone	SPA
Fernando Demaría	SPA
Abbey Clancy	SPA
Zulay Henao	SPA
Alejandro Figueroa	SPA
Ashoke Pandit	SPA
Antero	SPA
Sheila E.	SPA
Jared Jeffrey	ENG
Esmeralda Pimentel	SPA
Zineb Oukach	SPA
Gonzalo Zaldumbide	SPA
Alfonso Cruz Rodríguez	SPA
Víctor Guazá Lucumí	SPA
Rick Stitch	SPA
Petra Ecclestone	SPA
Kourosh Ziabari	ENG
Osman Mirzayev	SPA
Silvia Olmedo	SPA
Justo de Urgel	SPA
Señor Ernesto Alonso	SPA
Rocío Marengo	SPA
Curly Chalker	SPA
Ryan Harper	SPA
Takehiro Hira	SPA
Yoryi Morel	SPA
Joe Martinez	SPA
Ángel Bernabé Acosta	SPA
Rebeca (cantante)	SPA
François Gendron	SPA
Sonora Smart Dodd	SPA
David Moreno Estívariz	ENG
Vinnie Mele	SPA
Henry W. Lawton	SPA
Ernesto Piedras	SPA
Jared Lee Gosselin	SPA
Kaúlza de Arriaga	SPA
Yolanda Caballero	SPA
Bevilacqua Tony	SPA
Scott Tixier	SPA
Andrew Murray (Ministro Protestante)	SPA
Jerry Estrada	SPA
Oscar Villalón	SPA
'Adi bin Zayd	SPA
Andrés Cantor	SPA
Nikolai Ivanovich Ashmarin	SPA
Juan de Gages	SPA
David James (actor)	SPA
Kanken Toyama	SPA
Robert a lewis	SPA
Da-Wen Sun	ENG
Joseph Eubanks	SPA
Kunichika Toyohara	SPA
Psicosis (luchador)	SPA
Oswaldo Moncayo	SPA
Pablo Flores	SPA
Parlay Starr	SPA
Per Aabel	SPA
Diego Luis de San Vitores	SPA
Dj Don Cannon	SPA
Oberia Coffin	SPA
Salviano	SPA
Míriam Clegg	SPA
James Vincent Forrestal	SPA
Peter Hall (urbanista)	SPA
Manny Elias	SPA
Vadim Bakatin	SPA
Ludovico Bertonio	SPA
Yasmin Delíz	SPA
Raniero Cantalamessa	SPA
Utagawa Yoshiiku	SPA
Diana Wiszniowa	SPA
Sa-Fire (cantante)	SPA
Karol Cariola	SPA
Fredrik	SPA
Reggie Tsiboe	SPA
Víktor Chébrikov	SPA
Ariel Borrero Alfonso	SPA
Modelo de Chen	SPA
Hiroaki Matsuyama	SPA
Vernon Chatman	SPA
Jorge M. Pérez	SPA
Predikador (productor)	SPA
Sergio Rodríguez Hurtado	SPA
Chris Harris (luchador)	SPA
Petra Ecclestone	SPA
Erdenebat Sandagdorj	SPA
Tété-Michel Kpomassie	SPA
Martin Bouygues	SPA
Mendy Fry	SPA
Tony Brooker	SPA
Willian Junior Sales de Lima Souza	SPA
Don Miguelo	SPA
Joel Kosche	SPA
Steve Hass	SPA
Agustín Parrado García	SPA
A. David Andrews	SPA
William Ball	SPA
Rubén Cedeño	SPA
Matthew Brown	SPA
Li Keqiang	SPA
Zoé Jiménez Corretjer	SPA
Nikolai Mijáilovich Przevalsky	SPA
Sir Robert Williams	SPA
Keith Peck	SPA
Danielle Renfrew	SPA
Nicole Sullivan	SPA
Smiley (película)	SPA
Bibiana Candelas Ramirez	SPA
Juan Terranova	SPA
Jorge B.Vargas	SPA
Zakea Dolphin Mangoaela	SPA
George Segal (artista)	SPA
Marc Quaghebeur	SPA
Kibum	SPA
Gabriela Villalba	SPA
John O'Sullivan	SPA
Zach McGowan	SPA
Francisco Lachowski	SPA
Ariel Pestano	SPA
Svetlana Pozdeyeva	SPA
Andy Grammer	SPA
Emilio Alcalá Galiano	SPA
Amber Liu	SPA
