Article	WikiCategory
Bronwyn Bancroft	Art, architecture and archaeology 
Felice Beato	Art, architecture and archaeology 
Matthew Brettingham	Art, architecture and archaeology 
Sir William Bruce, 1st Baronet, of Balcaskie	Art, architecture and archaeology 
William Burges	Art, architecture and archaeology 
Lisa del Giocondo	Art, architecture and archaeology 
John Douglas (architect)	Art, architecture and archaeology 
El Greco	Art, architecture and archaeology 
El Lissitzky	Art, architecture and archaeology 
Adolfo Farsari	Art, architecture and archaeology 
Caspar David Friedrich	Art, architecture and archaeology 
Ima Hogg	Art, architecture and archaeology 
Charles Holden	Art, architecture and archaeology 
Paul Kane	Art, architecture and archaeology 
André Kertész	Art, architecture and archaeology 
Danie Mellor	Art, architecture and archaeology 
Henry Moore	Art, architecture and archaeology 
Sylvanus Morley	Art, architecture and archaeology 
Benjamin Mountfort	Art, architecture and archaeology 
Daisy Jugadai Napaltjarri	Art, architecture and archaeology 
Wintjiya Napaltjarri	Art, architecture and archaeology 
Makinti Napanangka	Art, architecture and archaeology 
Bronwyn Oliver	Art, architecture and archaeology 
Robert Peake the elder	Art, architecture and archaeology 
I. M. Pei	Art, architecture and archaeology 
Minnie Pwerle	Art, architecture and archaeology 
Pierre Rossier	Art, architecture and archaeology 
Edmund Sharpe	Art, architecture and archaeology 
Roman Vishniac	Art, architecture and archaeology 
Rudolf Wolters	Art, architecture and archaeology 
John Michael Wright	Art, architecture and archaeology 
Mary Anning	Biology 
Edward Drinker Cope	Biology 
Charles Darwin	Biology 
Henry Edwards (entomologist)	Biology 
Georg Forster	Biology 
Barbara McClintock	Biology 
G. Ledyard Stebbins	Biology 
Alfred Russel Wallace	Biology 
William Barley	Business, economics and finance 
Richard Cantillon	Business, economics and finance 
Harold Innis	Business, economics and finance 
Madman Muntz	Business, economics and finance 
Edgar Speyer	Business, economics and finance 
James Bryant Conant	Chemistry and mineralogy 
Joseph Priestley	Chemistry and mineralogy 
Hadji Ali	Culture and society 
Anna Anderson	Culture and society 
Marshall Applewhite	Culture and society 
Robert Baden-Powell, 1st Baron Baden-Powell	Culture and society 
Biddenden Maids	Culture and society 
William D. Boyce	Culture and society 
Guy Bradley	Culture and society 
D. B. Cooper	Culture and society 
Charles Domery	Culture and society 
Marjory Stoneman Douglas	Culture and society 
Montague Druitt	Culture and society 
W. E. B. Du Bois	Culture and society 
Terry Fox	Culture and society 
