Article	WikiCategory
Albert Speer	Arte y arquitectura 
Antoni Gaudí	Arte y arquitectura 
Artemisia Gentileschi	Arte y arquitectura 
Antínoo	Arte y arquitectura 
Bartolomé Esteban Murillo	Arte y arquitectura 
Claudio de Lorena	Arte y arquitectura 
Diego Velázquez	Arte y arquitectura 
El Greco	Arte y arquitectura 
Francisco de Goya	Arte y arquitectura 
Francisco de Zurbarán	Arte y arquitectura 
George Edward Bonsor Saint Martin	Arte y arquitectura 
Henry Moore	Arte y arquitectura 
Jean Fouquet	Arte y arquitectura 
Lisa Gherardini	Arte y arquitectura 
Miguel Ángel	Arte y arquitectura 
Sebastiano del Piombo	Arte y arquitectura 
Tesoro del Oxus	Arte y arquitectura 
Tiziano	Arte y arquitectura 
Utagawa Hiroshige	Arte y arquitectura 
Joseph Francis Shea	Astronomía y astrofísica 
Alfred Russel Wallace	Biología y medicina 
Andrés Manuel del Río	Biología y medicina 
Barbara McClintock	Biología y medicina 
Carl Gustav Jung	Biología y medicina 
Eli Lilly	Biología y medicina 
Hipócrates	Biología y medicina 
Luis Federico Leloir	Biología y medicina 
Sigmund Freud	Biología y medicina 
Demóstenes	Ciencias sociales 
D. B. Cooper	Ciencias sociales 
Hannah Arendt	Ciencias sociales 
Brad Pitt	Cine, fotografía, televisión y entretenimiento 
Bruce Willis	Cine, fotografía, televisión y entretenimiento 
Daniel Radcliffe	Cine, fotografía, televisión y entretenimiento 
Emma Watson	Cine, fotografía, televisión y entretenimiento 
Heath Ledger	Cine, fotografía, televisión y entretenimiento 
Kirsten Dunst	Cine, fotografía, televisión y entretenimiento 
Libertad Lamarque	Cine, fotografía, televisión y entretenimiento 
Lucille Ball	Cine, fotografía, televisión y entretenimiento 
Tita Merello	Cine, fotografía, televisión y entretenimiento 
Friedrich von Wieser	Cultura y sociedad 
Hilary Putnam	Cultura y sociedad 
Margaret Brown	Cultura y sociedad 
Nicolo Giraud	Cultura y sociedad 
René Goscinny	Cultura y sociedad 
Robert Baden-Powell	Cultura y sociedad 
Walt Disney	Cultura y sociedad 
William D. Boyce	Cultura y sociedad 
William Lloyd Garrison	Cultura y sociedad 
Abraham Olano	Deportes 
Brian Clough	Deportes 
Diego Armando Maradona	Deportes 
Estela Giménez	Deportes 
Kurt Angle	Deportes 
Michael Jordan	Deportes 
Miguel Indurain	Deportes 
Rudolf von Ihering	Derecho 
Parménides de Elea	Filosofía 
Arquímedes	Física, química y matemáticas 
Cráter Silverpit	Física, química y matemáticas 
Isaac Newton	Física, química y matemáticas 
Linus Pauling	Física, química y matemáticas 
Leonhard Euler	Física, química y matemáticas 
Robert Oppenheimer	Física, química y matemáticas 
Admiral Graf Spee	Fuerzas armadas y guerra 
Andrew Browne Cunningham	Fuerzas armadas y guerra 
Abraham Senior	Historia 
Akenatón	Historia 
Alcibíades	Historia 
Amosis I	Historia 
Aníbal	Historia 
Anna Anderson	Historia 
Baldomero Espartero	Historia 
Benjamin Morrell	Historia 
Bernardo O'Higgins	Historia 
Bernardo de Claraval	Historia 
Calígula	Historia 
Carlota Augusta de Gales	Historia 
Catón el Viejo	Historia 
César Augusto	Historia 
Claudio	Historia 
Cristóbal Colón	Historia 
Diocleciano	Historia 
Domiciano	Historia 
Ernesto Guevara	Historia 
Erwin Rommel	Historia 
Ethelberto de Kent	Historia 
Ethelbaldo de Mercia	Historia 
Eva Perón	Historia 
Harriet Tubman	Historia 
Hasekura Tsunenaga	Historia 
Henry Morgan	Historia 
Hermanos Pinzón	Historia 
Hipólito Bouchard	Historia 
Ildefonso Cerdá	Historia 
Isabel II del Reino Unido	Historia 
José María Morelos	Historia 
Juan de la Cosa	Historia 
Juan Fugl	Historia 
Julio César	Historia 
Lope de Barrientos	Historia 
Maximiliano Hernández Martínez	Historia 
Mehmet Alí	Historia 
Paulo Orosio	Historia 
Pol Pot	Historia 
Rafael Maroto	Historia 
Ramón Santamarina	Historia 
Robert Catesby	Historia 
Robert Falcon Scott	Historia 
Tutankamon	Historia 
Vasco Núñez de Balboa	Historia 
Alfonsina Storni	Literatura y teatro 
Ann Bannon	Literatura y teatro 
Baltasar Gracián	Literatura y teatro 
Cao Yu	Literatura y teatro 
D. H. Lawrence	Literatura y teatro 
Edgar Allan Poe	Literatura y teatro 
Emily Dickinson	Literatura y teatro 
Frederick Douglass	Literatura y teatro 
Gerard Manley Hopkins	Literatura y teatro 
Giovanni Boccaccio	Literatura y teatro 
