Category	Life	Literature	Art	Business_and_economics	TV_and_film	Sports	Law_and_crime	War_and_military	Science_and_technology	Music	Politics	Exploration	Popular_culture
Life	0.209251486871	0.0703241138222	0.0416147332396	0.0281296349829	0.0497012984476	0.0439331721799	0.0698280145986	0.0282075165531	0.0428287207749	0.0320840062158	0.058048866802	0.0293328538049	0.0258828512858
Literature	0.0909076412633	0.249166027905	0.0492079411317	0.0186214020259	0.0413172475847	0.0391324325751	0.0484472555887	0.0173933513109	0.0451242250687	0.0273795184265	0.0522891353344	0.0196897719464	0.022738752007
Art	0.0852484544401	0.059140813904	0.298824942063	0.0279874023124	0.0352509835817	0.0404586161528	0.0421825198652	0.0147866016829	0.0509439193663	0.0310904208368	0.0368694741147	0.0257723456475	0.022884324152
Business_and_economics	0.0710034721158	0.0336509685162	0.0546953406638	0.255444030932	0.0276624549229	0.0578844227519	0.0585877495303	0.0218072031833	0.0735418554266	0.0156785665587	0.0881184523882	0.0250289641752	0.0477281231781
TV_and_film	0.104003086929	0.0529450877371	0.0296419524388	0.0214303708768	0.336947359325	0.0574304677391	0.0597012864078	0.0133267498417	0.025302625775	0.0458748037508	0.0293738165972	0.0133881264486	0.0505033911931
Sports	0.0631250806626	0.0144931960774	0.0170633887695	0.0163001431643	0.0285174716811	0.604145761456	0.0468438134714	0.0106571054383	0.0165430106	0.0153678156854	0.0211322365332	0.00890723969306	0.021365826862
Law_and_crime	0.0798674889688	0.0418019026427	0.0308893905623	0.0362572981889	0.039390903103	0.0421596384303	0.299474328606	0.0473119182091	0.0378140925478	0.0194611980702	0.0803556759918	0.0254829710939	0.0250582140967
War_and_military	0.0677442571901	0.0263336823343	0.0299573970488	0.020013214785	0.0198856737861	0.048139735049	0.0700071777514	0.293414187818	0.0403797119444	0.0148179590303	0.08899971501	0.0530209124991	0.0115198920431
Science_and_technology	0.0650397494453	0.0537467550406	0.0511219269189	0.0356092840178	0.0199258291758	0.0370031358069	0.0416164710899	0.0186203419817	0.298447734655	0.0165135743314	0.0534842668734	0.0261905294478	0.0170696579024
Music	0.0844565190343	0.0329209352279	0.0332825079748	0.0178966517057	0.0626457923612	0.0472407048518	0.0418183233807	0.00904573876208	0.0239123500251	0.406874065055	0.022606541987	0.0106133118764	0.0496982440691
Politics	0.0669641001635	0.0382171014786	0.0273439752102	0.043945614681	0.019900287511	0.0405669925521	0.0684744070429	0.0570684923568	0.0419437794042	0.0142173818737	0.320191007506	0.0191867314108	0.017643404623
Exploration	0.0767921705015	0.0486336295927	0.0464972810455	0.0290799050819	0.0197734821057	0.0456362631068	0.0593152199254	0.0652998216327	0.0538822809709	0.0161401345952	0.0425621872864	0.27403251082	0.013354535031
Popular_culture	0.0904265062016	0.0394080607757	0.040018815633	0.0366461097938	0.115540409369	0.06941962557	0.0685620593791	0.0102891335546	0.0274195753489	0.0681406328595	0.0345632738443	0.0138683912288	0.238630804235
