ARTICLE_NAME	Art	Business_and_economics	Exploration	Law_and_crime	Life	Literature	Music	Politics	Popular_culture	Science_and_technology	Sports	TV_and_film	War_and_military
...And You Will Know Us by the Trail of Dead	0.01171875	0.0134548611111	0.0147569444444	0.00998263888889	0.0494791666667	0.0190972222222	0.585069444444	0.00998263888889	0.015625	0.0516493055556	0.0529513888889	0.0394965277778	0.00651041666667
50 Cent	0.00823782234957	0.0378462273161	0.00441738299904	0.079552690226	0.14370423432	0.0280563514804	0.295208532315	0.00672556510665	0.134750079592	0.0101082457816	0.0814231136581	0.0384431709647	0.0124562241324
A. Michael Noll	0.0645808263137	0.156438026474	0.0100280786201	0.00842358604091	0.0930605695949	0.0541516245487	0.0361010830325	0.0172482952266	0.0425190533494	0.261131167268	0.0585639791416	0.0505415162455	0.0120336943442
A. P. Herbert	0.0213089802131	0.017503805175	0.0213089802131	0.0235920852359	0.126331811263	0.248097412481	0.0806697108067	0.0395738203957	0.0167427701674	0.0342465753425	0.0837138508371	0.107305936073	0.0456621004566
A Shot at Love with Tila Tequila	0.00673400673401	0.0119949494949	0.00757575757576	0.0178872053872	0.110269360269	0.0410353535354	0.0730218855219	0.0128367003367	0.300505050505	0.0273569023569	0.13952020202	0.138257575758	0.00568181818182
Aaliyah	0.0106292517007	0.015306122449	0.015306122449	0.00907029478458	0.0871598639456	0.015022675737	0.458191609977	0.00425170068027	0.047619047619	0.0128968253968	0.0684523809524	0.0814909297052	0.00496031746032
Aaron Burr	0.00227718884963	0.0163329407146	0.0579505300353	0.090537887711	0.128857479388	0.0240282685512	0.00965842167256	0.15406360424	0.00431880643895	0.00848056537102	0.0464860620338	0.0051040439733	0.165999214762
Aaron Rodgers	0.00413323608072	0.00680768295648	0.0048626306832	0.00656455142232	0.022854364211	0.0085096036956	0.0170192073912	0.00534889375152	0.00583515681984	0.0126428397763	0.771213226355	0.0114271821055	0.00753707755896
Aaron Sorkin	0.0180252892117	0.0215227333871	0.0344363734194	0.0207156308851	0.0355125100888	0.0882432068873	0.0223298358892	0.0223298358892	0.0613397901533	0.0164110842077	0.121872477805	0.442561205273	0.0161420500404
Aaron T. Beck	0.015732546706	0.0147492625369	0.00819403474271	0.0206489675516	0.272369714848	0.0327761389708	0.0199934447722	0.00917731891183	0.0331039003605	0.200589970501	0.0390036053753	0.0206489675516	0.0144215011472
Aaron Tveit	0.00993676603433	0.0149051490515	0.00993676603433	0.020325203252	0.0993676603433	0.0356820234869	0.06684733514	0.0126467931346	0.0266485998193	0.0185185185185	0.10298102981	0.43450767841	0.0158084914182
Abdalá Bucaram	0.00441618088677	0.0181946652535	0.00600600600601	0.0833774951422	0.0886769122063	0.015015015015	0.0189012541954	0.300830242007	0.012012012012	0.0116587175411	0.1240063593	0.0151916622505	0.0233174350821
Abdelhakim Belhadj	0.00767543859649	0.0255847953216	0.0142543859649	0.238304093567	0.0566520467836	0.0215643274854	0.0358187134503	0.118786549708	0.0416666666667	0.0263157894737	0.0763888888889	0.0332602339181	0.19115497076
Abdelhamid Ben Badis	0.00847098686997	0.0211774671749	0.013553578992	0.00832980375547	0.0991105463787	0.0560496964563	0.01411831145	0.15374841169	0.01411831145	0.0166596075109	0.0389665396019	0.0103063673585	0.0519553861358
Abdellatif Laabi	0.026455026455	0.0148148148148	0.0121693121693	0.0910052910053	0.037037037037	0.202645502646	0.237037037037	0.0253968253968	0.0216931216931	0.0873015873016	0.0687830687831	0.0380952380952	0.0121693121693
Abhishek Bachchan	0.0201342281879	0.0283370618941	0.0246085011186	0.0156599552573	0.140939597315	0.0469798657718	0.0581655480984	0.0216256524981	0.027591349739	0.0611483967189	0.0745712155108	0.2774049217	0.0156599552573
Abou Diaby	0.00526390667236	0.0186370749751	0.00697111964718	0.0122350263195	0.044814340589	0.00754019063878	0.0170721297482	0.00455256793285	0.00825152937829	0.0088206003699	0.758998435055	0.0192061459667	0.00768245838668
Abraham	0.00375298532924	0.00500398043899	0.112930740362	0.00636870237689	0.250540202434	0.043671102013	0.00852951211191	0.0106903218469	0.00454907312635	0.0104628681906	0.023655180257	0.0295689753213	0.0462868190606
Abraham Darby I	0.0438161375661	0.199074074074	0.0362103174603	0.00644841269841	0.203869047619	0.00727513227513	0.016369047619	0.00595238095238	0.00363756613757	0.166335978836	0.0424933862434	0.015873015873	0.00429894179894
Abraham Lincoln	0.00451735615787	0.031225233793	0.0404184498336	0.0260738627358	0.125614201934	0.0341575527025	0.0119670312252	0.304961166587	0.0187826913932	0.00958947535267	0.0464415913774	0.0162466317958	0.0901886194326
Abraham Mateo	0.00887743413517	0.00744558991982	0.0114547537228	0.00773195876289	0.0821878579611	0.0194730813288	0.436426116838	0.0057273768614	0.148625429553	0.0117411225659	0.0747422680412	0.0624284077892	0.00801832760596
Abraham Rees	0.0221445221445	0.0198135198135	0.0205905205905	0.00893550893551	0.153457653458	0.12432012432	0.027972027972	0.0901320901321	0.0330225330225	0.107614607615	0.0470085470085	0.0283605283605	0.013209013209
Abu Madyan	0.0466041489059	0.00795680591077	0.0221653878943	0.0238704177323	0.120204603581	0.0807047456664	0.0295538505257	0.0176186416596	0.0119352088662	0.0130718954248	0.0349531116795	0.0130718954248	0.0204603580563
Ace Frehley	0.0403536717686	0.0234088233257	0.00722580049403	0.0323660456634	0.228316827112	0.00747974236443	0.236373710091	0.00129279497657	0.0791606066902	0.0286030888566	0.0653554031904	0.0288339451024	0.0108040723042
Ace Young	0.00708534621578	0.0135265700483	0.0154589371981	0.0112721417069	0.17616747182	0.0286634460548	0.2	0.0106280193237	0.10692431562	0.0151368760064	0.147181964573	0.114331723027	0.00805152979066
Achille Starace	0.014763014763	0.024864024864	0.026936026936	0.0647500647501	0.111629111629	0.019166019166	0.031598031598	0.190106190106	0.014763014763	0.027454027454	0.0836570836571	0.018389018389	0.207459207459
Adabel Guerrero	0.0163789287295	0.0110668437362	0.0163789287295	0.0265604249668	0.0522355024347	0.0385126162019	0.129703408588	0.00708277999115	0.110225763612	0.0185922974768	0.165117308544	0.15980522355	0.0137228862328
Adair Crawford	0.0213675213675	0.040404040404	0.010878010878	0.0120435120435	0.129370629371	0.0641025641026	0.0322455322455	0.012432012432	0.011655011655	0.315462315462	0.0625485625486	0.0275835275835	0.013986013986
Adam Carolla	0.0132275132275	0.0214947089947	0.0122354497354	0.0138888888889	0.216600529101	0.0548941798942	0.0333994708995	0.0155423280423	0.200396825397	0.0162037037037	0.0902777777778	0.126653439153	0.00958994708995
Adam Cole	0.00397614314115	0.00596421471173	0.00552242102938	0.00375524629998	0.0326927324939	0.00883587364701	0.0187762314999	0.0035343494588	0.00485973050585	0.0112657388999	0.847360282748	0.0106030483764	0.00706869891761
Adam Dutkiewicz	0.0207907293797	0.0514655760055	0.0081799591002	0.0081799591002	0.0852079072938	0.0248807089298	0.503067484663	0.0139740967962	0.0296523517382	0.0354464894342	0.0623721881391	0.0449897750511	0.011588275392
Adam Elsheimer	0.413811854269	0.0222947253942	0.00598151169114	0.00924415443176	0.0902664491572	0.0507522204096	0.0213884357441	0.00978792822186	0.00543773790103	0.0145006344028	0.0293637846656	0.0195758564437	0.005256479971
Adam Goldberg	0.0149942329873	0.00845828527489	0.0149942329873	0.0249903883122	0.0961168781238	0.0565167243368	0.133410226836	0.00922722029988	0.0276816608997	0.0149942329873	0.0376778162245	0.395232602845	0.0176855055748
Adam Lambert	0.00500417014178	0.0146418311556	0.00528217959411	0.0120470762673	0.0769159484756	0.0213140580113	0.384672412195	0.00602353813363	0.187471040682	0.0219627467334	0.0756185710314	0.0691316838106	0.00379946251506
Adam Riess	0.0267361111111	0.021875	0.00694444444444	0.0180555555556	0.0614583333333	0.0239583333333	0.034375	0.00729166666667	0.0100694444444	0.472569444444	0.0850694444444	0.0197916666667	0.0104166666667
Adam Smith	0.00746395250212	0.127226463104	0.00831212892282	0.00882103477523	0.0820186598813	0.135284139101	0.00899067005937	0.0508057675997	0.00288379983036	0.0461407972858	0.0247667514843	0.0089058524173	0.00916030534351
Adamari López	0.015929908403	0.0131421744325	0.0135404221426	0.0294703305456	0.222222222222	0.0517722023098	0.0752688172043	0.00995619275189	0.0708880923935	0.0187176423736	0.101951413779	0.188769414576	0.0135404221426
Adélard Godbout	0.00844951415294	0.0185889311365	0.0114068441065	0.0122517955218	0.103929024081	0.0257710181665	0.0388677651035	0.356569497254	0.0198563582594	0.0219687367976	0.0853400929447	0.0414026193494	0.041825095057
Adi Shankara	0.0106744298884	0.00873362445415	0.0118874332848	0.00703541969918	0.16885007278	0.0429403202329	0.0245026686075	0.011159631247	0.0177098495876	0.0317806889859	0.0334788937409	0.015526443474	0.0143134400776
Adler Volmar	0.0146011396011	0.0210113960114	0.00819088319088	0.0295584045584	0.145299145299	0.0238603988604	0.0238603988604	0.0292022792023	0.0381054131054	0.0149572649573	0.413817663818	0.0188746438746	0.0797720797721
Adolf Eichmann	0.00743840074384	0.0158066015807	0.0297536029754	0.317875406788	0.138656438866	0.0137145513715	0.0129009762901	0.0496280799628	0.0102278010228	0.0190609019061	0.0570664807066	0.0148768014877	0.0771734077173
