Wiki_Category	Our_Topic
Art, architecture and archaeology	Art
Business, economics and finance	Business
Education	Education
Philosophy and psychology	Humanities
Law	Law
Literature and theatre	Literature
Media	Media
Music	Music
Politics and government	Politics
Religion, mysticism and mythology	Religion
Royalty, nobility and heraldry	Royalty
Biology	Science
Chemistry and mineralogy	Science
Geology and geophysics	Science
Engineering and technology	Science
Health and medicine	Science
Mathematicians	Science
Physics and astronomy	Science
Sport and recreation	Sports
Warfare	Warfare
Culture and society	Warfare
History	-
Food and drink	-
Transport	-
Arte y arquitectura	Art
Ciencias sociales	Humanities
Fiilosofía	Humanities
Derecho	Law
Literatura y teatro	Literature
Cine, fotografía, televisión y entretenimiento	Media
Música	Music
Política y gobierno	Politics
Religión y mitología	Religion
Astronomía y astrofísica	Science
Biología y medicina	Science
Tecnología e informática 	Science
Física, química y matemáticas	Science
Deportes	Sports
Fuerzas armadas y guerra	Warfare
Cultura y sociedad	-
Historia	-
