src	tgt	weight
Literature	Literature	0.401205028619
Literature	Art	0.0221046987803
Literature	Warfare	0.00865965265652
Literature	Business	0.0103673961841
Literature	Humanities	0.0386179111849
Literature	Personal	0.097736237281
Literature	Media	0.0542001541601
Literature	Law	0.0124683490721
Literature	Sports	0.00762511453574
Literature	Religion	0.0134726000515
Literature	Royalty	0.0158912906554
Literature	Music	0.0171439308958
Literature	Science	0.0102803661469
Literature	Politics	0.0356140016353
Literature	Education	0.0760162891512
Literature	Other	0.172011109844
Literature	Explorers	0.00658586914559
Art	Literature	0.030332110131
Art	Art	0.453818238291
Art	Warfare	0.00722273885696
Art	Business	0.0197605020289
Art	Humanities	0.0297620495971
Art	Personal	0.0899588556469
Art	Media	0.0268095693396
Art	Law	0.00606686551666
Art	Sports	0.00673270998684
Art	Religion	0.0151383865707
Art	Royalty	0.0234405579888
Art	Music	0.0106786752891
Art	Science	0.0184923966493
Art	Politics	0.0170883215291
Art	Education	0.0683847171839
Art	Other	0.166934802273
Art	Explorers	0.00937850312147
Warfare	Literature	0.0095136631777
Warfare	Art	0.00557402738095
Warfare	Warfare	0.441247682288
Warfare	Business	0.0121215317745
Warfare	Humanities	0.00505481703196
Warfare	Personal	0.0590245827537
Warfare	Media	0.0146017056427
Warfare	Law	0.0300292934467
Warfare	Sports	0.0109299492778
Warfare	Religion	0.0032883411785
Warfare	Royalty	0.0727825519001
Warfare	Music	0.00358734773034
Warfare	Science	0.0155452113785
Warfare	Politics	0.0699377001453
Warfare	Education	0.0456268259846
Warfare	Other	0.156005584042
Warfare	Explorers	0.0451291848675
Business	Literature	0.017167229569
Business	Art	0.0251997769479
Business	Warfare	0.0199823577395
Business	Business	0.34133245278
Business	Humanities	0.0353923230637
Business	Personal	0.0662650000255
Business	Media	0.0519185165542
Business	Law	0.0187880891521
Business	Sports	0.0257231299875
Business	Religion	0.00436069051176
Business	Royalty	0.0113494305163
Business	Music	0.0157225395791
Business	Science	0.0931073290357
Business	Politics	0.0531920619068
Business	Education	0.0922607885856
Business	Other	0.114435302871
Business	Explorers	0.0138029811746
Humanities	Literature	0.0498845476497
Humanities	Art	0.0139494306035
Humanities	Warfare	0.00434286708126
Humanities	Business	0.0254610018457
Humanities	Humanities	0.437426222012
Humanities	Personal	0.0416329074003
Humanities	Media	0.0175987433361
Humanities	Law	0.01053802272
Humanities	Sports	0.00391905353064
Humanities	Religion	0.0227483218265
Humanities	Royalty	0.00771772642575
Humanities	Music	0.00513947954512
Humanities	Science	0.0469178314326
Humanities	Politics	0.0519528632608
Humanities	Education	0.087048004527
Humanities	Other	0.169147528277
