Category	Literature	Art	Warfare	Business	Humanities	Personal	Media	Law	Sports	Religion	Royalty	Music	Science	Politics	Education	Other	Explorers
Literature	0.401205028619	0.0221046987803	0.00865965265652	0.0103673961841	0.0386179111849	0.097736237281	0.0542001541601	0.0124683490721	0.00762511453574	0.0134726000515	0.0158912906554	0.0171439308958	0.0102803661469	0.0356140016353	0.0760162891512	0.172011109844	0.00658586914559
Art	0.030332110131	0.453818238291	0.00722273885696	0.0197605020289	0.0297620495971	0.0899588556469	0.0268095693396	0.00606686551666	0.00673270998684	0.0151383865707	0.0234405579888	0.0106786752891	0.0184923966493	0.0170883215291	0.0683847171839	0.166934802273	0.00937850312147
Warfare	0.0095136631777	0.00557402738095	0.441247682288	0.0121215317745	0.00505481703196	0.0590245827537	0.0146017056427	0.0300292934467	0.0109299492778	0.0032883411785	0.0727825519001	0.00358734773034	0.0155452113785	0.0699377001453	0.0456268259846	0.156005584042	0.0451291848675
Business	0.017167229569	0.0251997769479	0.0199823577395	0.34133245278	0.0353923230637	0.0662650000255	0.0519185165542	0.0187880891521	0.0257231299875	0.00436069051176	0.0113494305163	0.0157225395791	0.0931073290357	0.0531920619068	0.0922607885856	0.114435302871	0.0138029811746
Humanities	0.0498845476497	0.0139494306035	0.00434286708126	0.0254610018457	0.437426222012	0.0416329074003	0.0175987433361	0.01053802272	0.00391905353064	0.0227483218265	0.00771772642575	0.00513947954512	0.0469178314326	0.0519528632608	0.087048004527	0.169147528277	0.00457544852664
Personal	0.0675299036076	0.0283022842047	0.0219364955871	0.0214276591598	0.0154670940653	0.345681794748	0.0605847833693	0.0328590259196	0.0117282503402	0.0209061786263	0.0426746920658	0.0233358824786	0.0231479236169	0.0457555199332	0.0682298303646	0.15048619284	0.0199464890734
Media	0.024797201712	0.00981964557433	0.00609888958074	0.0123856009828	0.00764336737172	0.0865755183984	0.583977837976	0.0151333135807	0.0172971459807	0.00202972690078	0.00822637762173	0.0437253623814	0.00491046110372	0.0136844127372	0.0353282104717	0.125333453632	0.00303347399422
Law	0.0176031838574	0.00429473686511	0.0418948571856	0.0205389389292	0.0139871098786	0.0954423649292	0.0484382313165	0.406906002801	0.00981545865986	0.00685414673617	0.0168116408356	0.00963387493058	0.0131483769871	0.098011684117	0.033623860511	0.15428704991	0.00870848155009
Sports	0.00306342832174	0.00166117307151	0.00324444486063	0.00642386096115	0.00233044740403	0.0295102195318	0.0271049985301	0.0104773117389	0.790106729637	0.000929255636537	0.00375469997068	0.00471104403948	0.00311392177942	0.007941119606	0.0182372415329	0.0856786007574	0.0017115026208
Religion	0.0277105118018	0.00862150913503	0.0134154798211	0.00477740629407	0.0309460426451	0.0782007647417	0.0124193349245	0.0178468374082	0.00359168277241	0.389960618775	0.0598039308314	0.00528259354855	0.00496354543438	0.052744807061	0.0747675789897	0.202411023847	0.0125363319688
Royalty	0.0113878871424	0.006722481822	0.0649171985852	0.00550371118584	0.0049355917773	0.0697313820405	0.0102876406344	0.012102646726	0.00502144004342	0.0221612473338	0.522353552888	0.00403132909967	0.00271692694199	0.0375769438398	0.0161210026104	0.189579907258	0.0148491100711
Music	0.015875421816	0.00760420353292	0.00292222811252	0.00786546994087	0.0087562089836	0.0616625283876	0.0832014977799	0.00739701082486	0.0120569134887	0.00376465158642	0.00594801730172	0.603919108203	0.00500941593556	0.00924817693325	0.0394528771524	0.123322463827	0.00199380619321
Science	0.018389849299	0.0153154582512	0.0155708434957	0.0335470108613	0.0521761005255	0.0653233395285	0.0150933142285	0.00952270826966	0.00704026396997	0.00612256407113	0.010006236901	0.00632009358886	0.424960631703	0.0143842824333	0.123293484565	0.159359287277	0.0235745310319
Politics	0.0181819882244	0.00381431521318	0.0376507284915	0.0256942299029	0.0217140553233	0.0631932216267	0.0215419793538	0.0459811832062	0.00776695132377	0.00949360143142	0.0347873458086	0.00389619538079	0.00583151575142	0.471972788278	0.0782854517503	0.143741330656	0.00645311827777
Education	0.0593109443634	0.0223639403471	0.0136535923296	0.0329511510715	0.0512582372417	0.0694520113147	0.029393850428	0.0103342892206	0.0105654064251	0.0174836009701	0.014947798631	0.0119870725705	0.0699808546438	0.0700825064741	0.388346827086	0.109561708362	0.0183262085211
Other	0.0780572991039	0.0241724998341	0.0243219482999	0.0117792972869	0.0450111170009	0.0731025901947	0.0433389197364	0.0217132127791	0.00874886532913	0.0468808305469	0.061699054688	0.0222795496774	0.0302073047054	0.040693102083	0.0418524440138	0.403915052695	0.0222269120255
Explorers	0.0176338480123	0.0105774618496	0.081990410866	0.013906320983	0.00604144762317	0.0788408411033	0.0120756687914	0.0133960776903	0.0132362861951	0.0105901757121	0.0579443496918	0.00477609879878	0.0367597004639	0.0172075654557	0.0458699583153	0.177411367727	0.401742420721
