Category	Literature	Art	Warfare	Business	Humanities	Personal	Media	Law	Sports	Religion	Royalty	Music	Science	Politics	Education	Other	Explorers
Literature	0.379804157176	0.0185808649275	0.0105306785037	0.00539140058749	0.0334517435381	0.127466859618	0.0519327184474	0.0112788045257	0.00565500077172	0.0148765615333	0.0157527882978	0.0173738151576	0.0115510380737	0.0439030687872	0.0698777118575	0.174800157076	0.00777263112124
Art	0.0228756011439	0.462355066022	0.0099696172799	0.0142850940763	0.0244743790161	0.104536045462	0.0246226350222	0.00536209018383	0.00605561986779	0.0203869241765	0.0212476144888	0.0108038015578	0.0149432901229	0.0222756599615	0.0591285548257	0.168513274795	0.00816473199833
Warfare	0.00622647951891	0.00339232548062	0.466409992859	0.00967028426463	0.00374694094891	0.0652584528883	0.00834971500669	0.0281887111306	0.00880685166064	0.00676504962878	0.0527263567225	0.00295248712451	0.0182728808769	0.0867769488549	0.0268598344518	0.167434326519	0.0381623620635
Business	0.00566772085476	0.0178830882862	0.0174726942331	0.341889289689	0.0431746857785	0.0867183869957	0.0444788278336	0.0112305514793	0.0139669515103	0.0012435776196	0.01317513103	0.00898679495284	0.066001307978	0.076200841053	0.0851807280239	0.15309889888	0.0136305238024
Humanities	0.0371798603539	0.00960403879831	0.00443140700038	0.0252215232759	0.43889938838	0.0499597414519	0.0126478406503	0.0100559650159	0.00351411654723	0.0250689418485	0.005604364492	0.00567440209003	0.0468106510859	0.0486166538788	0.0896250022705	0.182958071201	0.00412803165967
Personal	0.0629406764745	0.0236921935552	0.0201693827913	0.0171166995106	0.0170857454625	0.382262882922	0.0722469578265	0.0336610471935	0.012224886196	0.021190774125	0.0272464531628	0.0308376816341	0.022238072243	0.0424710284437	0.0406883876118	0.159598018232	0.014329112615
Media	0.0197913770766	0.0100773891174	0.00622362954823	0.00793107497361	0.00597287211484	0.13034391325	0.569392955243	0.0117322217035	0.0142873049288	0.00210036805286	0.00666572112239	0.0414414064973	0.00872344554233	0.0141598647953	0.0263172514282	0.121964524064	0.00287468054043
Law	0.0100774108259	0.00416810960499	0.0464466895547	0.0178058630049	0.0106115153633	0.114824401336	0.0300445802235	0.407393553951	0.00774868602225	0.00802405686062	0.0102523612018	0.0106747500615	0.0151540959117	0.103194899668	0.0279675009907	0.169451294955	0.00616023046477
Sports	0.00203448233883	0.00178273012329	0.00409730029864	0.00397138975554	0.00205926524216	0.0429858990304	0.0170973876736	0.00748118751711	0.791717607833	0.00107472143868	0.00273777591576	0.00479518760158	0.00365359423957	0.0096529992508	0.0119109002301	0.09139953306	0.00154803845097
Religion	0.025278249551	0.00830679234467	0.01761561521	0.0047485963181	0.0284531028209	0.0938149893094	0.00719784641121	0.0169687444816	0.00367032193788	0.419542380569	0.0564751839584	0.00572735857489	0.00499011591264	0.0496566976227	0.0518700113244	0.195545747895	0.0101382457591
Royalty	0.00732764710463	0.0067086946814	0.0504426895052	0.00663134780317	0.00430854806278	0.0761936893493	0.00656853694998	0.0115520486319	0.00462517469525	0.0224287256813	0.559121403091	0.00363545018482	0.00251429121694	0.0362102046266	0.0104938689319	0.1831690284	0.00806865108399
Music	0.0126927654229	0.00702511058183	0.00357798905346	0.00454772950175	0.00759850257837	0.0864366027827	0.0692332232352	0.00628241510114	0.0100417795818	0.00480533032439	0.00534527091542	0.592165136625	0.00821350017278	0.0115843827205	0.0306354661751	0.137854380887	0.00196041434091
Science	0.0121929347574	0.0112803017002	0.0179415721875	0.0297016039071	0.0409745451804	0.0759843685607	0.0166695156273	0.00714107068029	0.00774812358948	0.00588985358428	0.00713991986751	0.00667206507361	0.448265430255	0.0192668836826	0.108083316038	0.164018188692	0.0210303066177
Politics	0.0168002912094	0.00316904987432	0.04735690045	0.0292534293263	0.0189605313961	0.0684970101029	0.0133716146591	0.0488896095575	0.00796990596581	0.00826135473719	0.0208395126679	0.003861752349	0.00566517292375	0.485762283065	0.0601111811157	0.156685509767	0.00454489083352
Education	0.049838114625	0.0219476723544	0.0122707896449	0.0297263305231	0.0573332108106	0.0686017666705	0.0274874096847	0.0118799267895	0.00957571719672	0.017896749795	0.00905065340004	0.0133219951073	0.0621376840523	0.0661230541537	0.394403827691	0.133257761884	0.0151473356175
Other	0.0610369997728	0.020548999757	0.0370129607341	0.0179492938276	0.0400878222518	0.0934545284474	0.0344967545625	0.0221381871748	0.00832799536419	0.0397704207431	0.0622476275894	0.0242652493059	0.0344221113872	0.0461138415622	0.0439360320181	0.392921029792	0.02127014571
Explorers	0.0142613097324	0.0092316491258	0.0914099115906	0.013427806548	0.00540326532999	0.0941956173426	0.00727205606442	0.0125343133539	0.0102036768285	0.0125848965796	0.0335452628882	0.00313239302391	0.0324816490017	0.0192429919574	0.0314701850363	0.173439450001	0.436163565595
