category	num.articles.en	percent.articles.en
Education	66	0.0279758221077
Literature	1917	0.8125704694
Art	8789	3.72544697734
Warfare	12663	5.36754295984
Business	1067	0.452275790741
Humanities	1563	0.662518332641
Personal	2479	1.05078883341
Media	23806	10.090794259
Music	21375	9.06035147806
Sports	58068	24.6136369416
Religion	2496	1.05799472698
Royalty	3594	1.52341067659
Exploration	1205	0.510770691511
Science	5994	2.54071329869
Politics	14599	6.188167075
Law	4537	1.92312583186
Other	71700	30.3919158352
TOTAL	235918
