Category	Education	Literature	Art	Warfare	Business	Humanities	Personal	Media	Music	Sports	Religion	Royalty	Exploration	Science	Politics	Law	Other
Education	0.222574446242	0.0314645462424	0.0561250397879	0.0418905858788	0.0166630893182	0.0157838922121	0.054259675197	0.0557696423636	0.0416987976364	0.0929411043182	0.0261981204242	0.0128946392424	0.0231837920303	0.0461433506515	0.0453840754394	0.0262511344697	0.19077406847
Literature	0.0290679315295	0.265595074404	0.0749995664058	0.0301277340376	0.0118850701075	0.0346517347475	0.0378089235947	0.0678143803516	0.0357702216453	0.070417698349	0.0176912697047	0.0126306990662	0.0172110410934	0.0289401440459	0.0382880427371	0.0241230491049	0.202977419166
Art	0.0214405842908	0.0342377378118	0.360023891846	0.0274567352609	0.0147095127307	0.0266284071756	0.0292314005019	0.0625964384295	0.0343097916671	0.065722498318	0.0141194606733	0.0113039220339	0.0192027411659	0.0342326883442	0.0279643811568	0.0199063980264	0.196913410646
Warfare	0.0160843055665	0.00905359184214	0.0258625625686	0.42449641179	0.0106241759866	0.00962427266651	0.0316660714478	0.0311465572991	0.0205662536213	0.0731658265195	0.0102969256835	0.018441504755	0.0236457849852	0.0261176555635	0.0428981994628	0.0305150116459	0.195794888691
Business	0.0193137200253	0.00990207048922	0.0401037570141	0.0315890796982	0.295295392339	0.0123741351649	0.0440142162409	0.047617530149	0.023021462447	0.0792750684011	0.00904253767198	0.0116436911762	0.0335562769747	0.0429156901265	0.0469203898022	0.0453773434555	0.208037638883
Humanities	0.0175382769623	0.0489176715131	0.0369450708823	0.018673373048	0.00796366157518	0.367938864906	0.0265336913711	0.0328185170985	0.0160620975899	0.037645367144	0.031126916398	0.0114576187774	0.0101397556289	0.0699698400595	0.0472529783845	0.0290140492079	0.190002249511
Personal	0.0164844070141	0.0148494528241	0.0359130778612	0.0401551372904	0.0153678102061	0.0162228777652	0.291036594694	0.0469048890089	0.0268285659302	0.0774109949802	0.0173576432283	0.0627865784498	0.0199765344385	0.0442550559225	0.0405666459266	0.0316520707422	0.202231663873
Media	0.0210699414246	0.0171545727198	0.0496042007876	0.0276442388013	0.015069631717	0.0114090793226	0.0427234088811	0.360075085089	0.0539064397218	0.0887497403424	0.00945618890465	0.0088686464498	0.0114131871935	0.0202483443509	0.0280489157045	0.0257067067617	0.208851671961
Music	0.0181302029613	0.0125173644121	0.0394798187737	0.0220669576521	0.0115876266082	0.012438520411	0.0280878924958	0.0755513222293	0.406980055959	0.0755497710825	0.00958287370994	0.00769565259186	0.0100433195053	0.0218482473496	0.0232096275854	0.0191001386866	0.206130608074
Sports	0.0131172323138	0.00640204382681	0.0224100805658	0.0264459812305	0.0105013767906	0.00758012480685	0.0227102141406	0.036374183469	0.0232089109674	0.549173068755	0.00732558122971	0.00776735314905	0.00892455106794	0.0151888265977	0.0236273772826	0.0211341356234	0.198108958276
Religion	0.0185854801386	0.0191003017484	0.0351005105353	0.0352686886799	0.00894454199559	0.0311018631875	0.0326876978522	0.0312948076583	0.0211934460745	0.0572147756242	0.328939093058	0.0518594691807	0.0258288654223	0.018482104484	0.0454106028958	0.03819201502	0.200795736522
Royalty	0.006790420931	0.00921983462827	0.0270283523937	0.0744944803962	0.0087881828414	0.0174142057577	0.0671175561825	0.0263253574847	0.0174020463244	0.0538346702521	0.037561146382	0.351040864238	0.0223754225579	0.0151897226895	0.0477061171397	0.0297237446238	0.187987875257
Exploration	0.0130887015237	0.0162841768282	0.0418559921303	0.0607106152191	0.0394767551535	0.0146404244116	0.0493313558539	0.0310822458515	0.0195860243328	0.0648071348407	0.0176693299145	0.0259775967701	0.290338648429	0.0413692144813	0.0428454699851	0.0309964429394	0.19993987138
Science	0.0217198370494	0.0181835113392	0.0384438489333	0.0359556583996	0.0175307089289	0.0322960444288	0.03884719347	0.0358456468822	0.0238069521573	0.0626662067304	0.0108178768003	0.00955444044945	0.0216958122222	0.380986209728	0.0289850419376	0.0230172840821	0.199647726551
Politics	0.0194387317118	0.010723660629	0.0256596963012	0.0412440485753	0.0224872819414	0.0156729050492	0.0320083191277	0.0366962906819	0.0192831847099	0.0724298441342	0.0113189516114	0.0153104581686	0.017025194957	0.0205598536967	0.355274856148	0.0614851296411	0.223381592971
Law	0.0136438871876	0.0129827323198	0.0237199112259	0.0454151349744	0.0258558866145	0.0151636744022	0.0377295138417	0.0497001570879	0.0195293115684	0.0578728997117	0.0122254689539	0.0109051916921	0.0171488802107	0.0221617051356	0.0803735665583	0.361218198167	0.1943538804
Other	0.0254557726974	0.0362365769684	0.0497900912661	0.0449320185515	0.0245940319275	0.0235276200589	0.0490119913518	0.0723934312883	0.0400591801344	0.0770594493005	0.0216394757014	0.0188889515198	0.0238017591578	0.0355465124673	0.0708826428391	0.0405455846526	0.345634910214
