category	num.articles.it	percent.articles.it
Education	645	0.653118259971
Literature	326	0.330103182559
Art	2290	2.31882296951
Warfare	847	0.857660722784
Business	244	0.247071093695
Humanities	1419	1.43686017194
Personal	333	0.337191287706
Media	8807	8.91784886135
Music	6636	6.71952367933
Sports	13942	14.1174802799
Religion	2074	2.1001042964
Royalty	3379	3.42152961309
Exploration	241	0.244033334346
Science	989	1.00144799862
Politics	2934	2.97092864303
Law	341	0.345291979303
Other	53310	53.9809836265
TOTAL	98757
