Category	Education	Literature	Art	Warfare	Business	Humanities	Personal	Media	Music	Sports	Religion	Royalty	Exploration	Science	Politics	Law	Other
Education	0.300915398608	0.0324162670574	0.0459196865302	0.00984583843721	0.0234021776729	0.078321432986	0.0247349298093	0.0251307488279	0.0243845138388	0.0376591451876	0.0388396189225	0.0197076057984	0.0130218675488	0.0208159018403	0.0734649533922	0.00968929233333	
Literature	0.0387823058589	0.307082007258	0.0673952438742	0.00957231462883	0.00961700627301	0.0374688572147	0.0322588093313	0.0501248117117	0.0324039087086	0.0432148739356	0.0244576201043	0.0199769183834	0.0126988482301	0.012314918546	0.0452571893681	0.0129186763528	
Art	0.019037868345	0.0195676976694	0.371379604564	0.00958770602052	0.0187324474253	0.0423846606424	0.0285824491843	0.0376338412917	0.028704534459	0.0419410502017	0.0274910106952	0.0234278759817	0.012944642007	0.0136149651415	0.0283700530651	0.00854822632533	
Warfare	0.00940801006612	0.00606953216765	0.0209559033943	0.365435289155	0.0113209489976	0.0175778974829	0.0234131869634	0.018170045098	0.0182963340779	0.0476788643046	0.0157645280874	0.0422965986104	0.0285903957591	0.0133564046741	0.0734028732196	0.0145635556246	
Business	0.0431193282664	0.00789658663934	0.0518174176393	0.0153722374098	0.306368270787	0.0405558102049	0.0296769721189	0.0218665355246	0.0217114042541	0.0453453565164	0.0154866711762	0.0200841269057	0.0173748775697	0.0455038532664	0.0701839355697	0.0152217752541	
Humanities	0.0498439855257	0.0284254592692	0.0306899122636	0.00727797265891	0.0156658511649	0.362170288038	0.0286873691233	0.0165448715765	0.0195358301734	0.0277861099077	0.058608160439	0.026451853203	0.011568688735	0.0317887745455	0.0447637072417	0.00936991110218	
Personal	0.0636456494444	0.0128275455105	0.0283652545976	0.0141863809399	0.0175432802402	0.0581358006096	0.323609705078	0.0189778121081	0.0196475959489	0.0336762698138	0.0209505753694	0.0183657971952	0.0101011743994	0.0724809624535	0.0459032967718	0.013554806003	
Media	0.0102630300902	0.0132703713731	0.049375426491	0.0101640310545	0.0096162465331	0.0174072801601	0.0354936343763	0.428380466881	0.0324741823159	0.0499393354101	0.0165037845924	0.0220455172426	0.0111653007156	0.00849976108629	0.0290649906885	0.0122981487845	
Music	0.0114465936261	0.0103710583909	0.0369860739444	0.00721918203285	0.00973634930289	0.0219207257999	0.0252895466736	0.0349709765627	0.422755576064	0.0430066591394	0.0164972405285	0.0150773156448	0.00962059886061	0.00908304994937	0.0276853326762	0.00813780989346	
Sports	0.00706518645496	0.0060293256484	0.0242666451249	0.00925398205179	0.00917677556828	0.0154601023974	0.0210453060428	0.022931375842	0.0214044799162	0.512830238594	0.013691111421	0.0146925724045	0.00901188993961	0.00728979903766	0.030427887549	0.00882870637771	
Religion	0.0265817687941	0.0116483057179	0.0282593624971	0.0106028908905	0.0106195822633	0.0533490347343	0.0304818769479	0.0199961026234	0.0208696274658	0.0367184715256	0.355453313258	0.0399579533139	0.0135505970545	0.00980577994069	0.0505086991013	0.0142960537859	
Royalty	0.00685215680497	0.00628379101835	0.0227286650737	0.0210290066833	0.0104830649447	0.0314357673048	0.0205355144555	0.0176440153939	0.0176972888381	0.0377793727928	0.0389609136156	0.402070291421	0.0198399792042	0.0067782164383	0.0413943188334	0.0132218544984	
Exploration	0.0109842227344	0.0103248752407	0.0283706772988	0.0371274990996	0.0179441485104	0.0304279304772	0.0263384631618	0.0168568236349	0.0186505711245	0.0411008787054	0.0268123487635	0.0607312450083	0.353679655805	0.0215936275062	0.0379735677054	0.0135730755145	
Science	0.0372882612295	0.0111262569505	0.0343176382366	0.0133432481132	0.0209042688099	0.0499246964044	0.0425835159302	0.0221204624115	0.0238759465511	0.0400865842285	0.0203498198716	0.0183016253003	0.0153483378544	0.352455147003	0.0439037393711	0.00834834494034	
Politics	0.0279080351646	0.0123896354018	0.0246745342918	0.0214056422785	0.0297273551997	0.0287184780089	0.0286768603661	0.021185555228	0.020028548092	0.0431477161101	0.0226282352621	0.0291935434533	0.0116841920395	0.0108207049298	0.371126427164	0.029896287559	
Law	0.0111179623812	0.00784402964809	0.0261361110557	0.0223699597771	0.0269045664575	0.0243415074018	0.0322702787771	0.0225917929589	0.0173761309003	0.0351397103724	0.0156525738065	0.0234974854868	0.0106534925924	0.009323519261	0.0780365275044	0.353445310786	
