category	num.articles.pt	percent.articles.pt
Education	28	0.127030215044
Literature	102	0.462752926232
Art	69	0.313038744216
Warfare	151	0.685055802559
Business	64	0.290354777243
Humanities	297	1.34742763815
Personal	862	3.910715906
Media	2696	12.2311949914
Music	2448	11.1060702296
Sports	3598	16.3233826332
Religion	77	0.349333091371
Royalty	294	1.33381725796
Exploration	302	1.37011160512
Science	289	1.31113329099
Politics	1225	5.55757190818
Law	33	0.149714182016
Other	9507	43.1312948008
TOTAL	22042
