Category	Education	Literature	Art	Warfare	Business	Humanities	Personal	Media	Music	Sports	Religion	Royalty	Exploration	Science	Politics	Law	Other
Education	0.252784832107	0.0384736639286	0.0126808179286	0.0141648626429	0.0347592066429	0.0653825389286	0.0348279684643	0.0617861031429	0.0453023693214	0.0627748112857	0.0113414013571	0.00864590135714	0.0228767727857	0.0522255453929	0.0769594842143	0.0109913426071	
Literature	0.0397774361373	0.28627200351	0.0215515420588	0.0114673965	0.0132661302451	0.0506030142059	0.0445399007059	0.080893649549	0.0485743881373	0.0535333923137	0.011638999	0.00955114285294	0.0222617661961	0.0217858831667	0.0461804735	0.0116490041471	
Art	0.0314571904638	0.0297251058841	0.325287064536	0.00997432256522	0.0147190214493	0.045994264913	0.0416121491594	0.0545044192464	0.0372811912754	0.0495289567536	0.0187517797391	0.00896256927536	0.0229551038551	0.01229871	0.0283181073478	0.007314943	
Warfare	0.0118429250132	0.00639530499338	0.00774526262914	0.345168542272	0.00986868186093	0.0208706786424	0.0391049694172	0.0373027933311	0.0275534341788	0.0705998262517	0.00883011290066	0.0226687166358	0.083580005649	0.00754860171523	0.0541950989868	0.0258532362318	
Business	0.0295032631719	0.011179605875	0.0128074067656	0.0120338424063	0.307120083953	0.0419435304062	0.0360574742656	0.0541739455781	0.0291973492656	0.0535582936875	0.00754158384375	0.0083612496875	0.0289488833281	0.0224826896562	0.0882486753594	0.0246071337812	
Humanities	0.043348106835	0.0267052202795	0.0153301015455	0.00990776792929	0.0209228110236	0.342008277226	0.0331031139562	0.0424220680976	0.0282243210808	0.0456213497138	0.0193219047239	0.0111417211818	0.0177563341852	0.0498353119461	0.0546710911347	0.0116459375017	
Personal	0.0116943970116	0.00899397522622	0.0105207882227	0.0226592344861	0.0114304252181	0.020387701239	0.411889008657	0.0440919785116	0.0325183268445	0.054879797391	0.0140529825383	0.0354360178503	0.0242254309316	0.00872179004176	0.0415672224153	0.0127700236369	
Media	0.0179783789306	0.0159816009069	0.0127516508542	0.0100992043068	0.0132613993795	0.0213931293509	0.0584866702274	0.376070665981	0.0617123711439	0.0699467009955	0.0090673635842	0.00888523131639	0.0230360033913	0.0102772254681	0.0298531181324	0.012852196678	
Music	0.0140720470829	0.011168794152	0.0126027976687	0.00807410373856	0.0112602599596	0.0207491403779	0.0410738325147	0.0861230209808	0.40500568673	0.0576193677304	0.00866229100776	0.00720844206699	0.0193456030266	0.00806494626634	0.0231474054314	0.00971743716422	
Sports	0.00873882793274	0.00620930933908	0.00743489652029	0.00957843294969	0.0090969386965	0.0154756443424	0.0287909586718	0.0421539948391	0.029514944525	0.507009154057	0.00695113797499	0.00794003827599	0.019230293754	0.00651125867649	0.0255903136631	0.00970905700584	
Religion	0.0221667710649	0.0104479661688	0.0118321387403	0.012343713026	0.0106878904805	0.0420654424675	0.0530155499481	0.034308346	0.0277623560519	0.0487677781429	0.314927136442	0.0514496526104	0.0233941988831	0.00869453827273	0.0540264828312	0.0188690679091	
Royalty	0.00570716402041	0.00613056848639	0.00762774842177	0.033780853432	0.00995366378912	0.0183231893741	0.10336443281	0.0263742160884	0.0203124346429	0.0456599849422	0.0318755401871	0.356576446578	0.0301849785238	0.00505310443197	0.0416078237823	0.014200679483	
Exploration	0.014561402957	0.00689466521192	0.00836927493377	0.0275830760265	0.0159264585099	0.0184201207483	0.0406922556589	0.0395420652351	0.0279500241291	0.0543451376589	0.00961502662252	0.0225196238377	0.465108982351	0.0166849162781	0.0316752719536	0.00993961060927	
Science	0.0420805838201	0.0160069583287	0.0138150220519	0.0138413009135	0.0205198241384	0.0637124667785	0.0420833648304	0.0508289131696	0.0392373937993	0.0549247861246	0.010422342737	0.00964896976471	0.0257886151315	0.330017772851	0.0376861728962	0.00963237222491	
Politics	0.0293669078522	0.0127916623143	0.00945823834939	0.022921211178	0.0361332089804	0.0268981131053	0.043285315769	0.044604408178	0.028409503182	0.0587560197543	0.01019330984	0.01602903156	0.0231592186449	0.00824104113224	0.363482940831	0.0295549226384	
Law	0.0143522047576	0.00948817187879	0.00628299318182	0.0358415485758	0.0300700547273	0.0232795962727	0.038155621	0.0590988040606	0.0330305685152	0.0445930243939	0.0113850874545	0.00783950863636	0.0213039297273	0.00502211018182	0.119652600758	0.319057998061	
