name_eng	name_spa
Boaz Kramer	Boaz Kramer
Eric Stefani	Eric Stefani
Trevor Baylis	Trevor Baylis
Eliel (producer)	Eliel
Amalia Guglielminetti	Amalia Guglielminetti
Omar Cummings	Omar Cummings
Himesh Patel	Himesh Patel
Hugo Sperrle	Hugo Sperrle
Allen Francis Gardiner	Allen Gardiner
Henry Bauchau	Henry Bauchau
Antonio Starabba, Marchese di Rudinì	Antonio Starabba
Caecilia Metella Balearica (priestess)	Cecilia Metela Baleárica la Mayor
Marie Picasso	Marie Picasso
Howard Chandler Christy	Howard Chandler Christy
Saeed Jalili	Saíd Yalilí
Francisco de Garay	Francisco de Garay
Aelius Promotus	Elio Promoto
Taius	Samuel Tajón
Carlos Carvalhas	Carlos Carvalhas
Barbara Hutton	Barbara Hutton
Reiko Takagi	Reiko Takagi
Niccolo Boldrini	Niccolò Boldrini
Marcos Alvarez	Marcos Alvarez
Erich Hackl	Erich Hackl
Deepak Acharya	Deepak Acharya
Taku Iwasa	Takamichi Iwasa
Jean-Jacques Clérion	Jean-Jacques Clérion
Simone Mosca	Simone Mosca
Eduard von Borsody	Eduard von Borsody
María Teresa Campos	María Teresa Campos
Brian Williamson	Brian Williamson
Michael Chopra	Michael Chopra
Diego Forlán	Diego Forlán
Hermann of Reichenau	Hermann von Reichenau
Gaspard-Gustave Coriolis	Gaspard Coriolis
Nemours Jean Baptiste	Nemours Jean Baptiste
Thomas Culpeper	Thomas Culpeper
Remy Ma	Remy Ma
Bianca Ryan	Bianca Ryan
George Claridge Druce	George Claridge Druce
Quintus Lucretius Vespillo	Quinto Lucrecio Vespilón
Jorge Maggio	Jorge Maggio
Manuel Delgado Villegas	Manuel Delgado Villegas
Ezequiel Scarione	Ezequiel Scarione
Piero D'Inzeo	Piero d'Inzeo
John Jenkins (composer)	John Jenkins
Russell Means	Russell Means
Vincent Bueno	Vincent Bueno
Ogie Alcasid	Ogie Alcasid
Pedro Zaballa	Peru Zaballa
William Vertue	William Vertue
Antonio Betancort	Antonio Betancort
Byrhtnoth	Byrhtnoth
Jacques Lecoq	Jacques Lecoq
Vetranio	Vetranio
Rudolph Cartier	Rudolph Cartier
Jack Nimitz	Jack Nimitz
Max Weber (artist)	Max Weber (artista)
Prudencia Ayala	Prudencia Ayala
Alexey Favorsky	Alekséi Favorski
Sven Schipplock	Sven Schipplock
Saki Fukuda	Saki Fukuda
Joe Mondragon	Joe Mondragon
Harry Babasin	Harry Babasin
Lothar von Richthofen	Lothar von Richthofen
Alberto Romulo	Alberto G. Rómulo
John Graas	John Graas
Foster Brooks	Foster Brooks
Glenn Robinson	Glenn Robinson
Julio Pablo Rodríguez	Julio Rodríguez Cristóbal
Xabier Arzalluz	Xabier Arzalluz
Matthias of Jerusalem	Matías de Jerusalén
Sixto Vizuete	Sixto Vizuete
Adan Balbín	Adán Balbín
Jaime Rosales (director)	Jaime Rosales
Renée Doria	Renée Doria
Luke Sassano	Luke Sassano
Stan Winston	Stan Winston
Dewa Shigetō	Dewa Shigetō
Ingvar of Kiev	Íngvar de Lutsk
Karl Gegenbaur	Carl Gegenbaur
Thomas Medland	Thomas Medland
Artamon Matveyev	Artamón Matvéyev
Sadegh Hedayat	Sadeq Hedayat
Felix Draeseke	Felix Draeseke
Alois Senefelder	Aloys Senefelder
Viktors Ščerbatihs	Viktors Ščerbatihs
Jason Rohrer	Jason Rohrer
Michèl Yost	Michel Yost
Ictinus	Ictino
Robert Bakewell (agriculturalist)	Robert Bakewell
Carlo Galeffi	Carlo Galeffi
Julius Fučík (composer)	Julius Fučík (compositor)
Henry Kingsley	Henry Kingsley
Peter Sallis	Peter Sallis
Kristel Köbrich	Kristel Köbrich
Ariel Carreño	Ariel Carreño
Greg Osby	Greg Osby
Yevgeny Perepyolkin	Yevgeni Perepiolkin
Hermann Broch	Hermann Broch
Álvaro Mutis	Álvaro Mutis
Darío Flores	Darío Flores
Aristobulus I	Aristóbulo I
Ana González	Ana González (actriz)
Rolando Illa	Rolando Illa
Karan Johar	Karan Johar
Deb Lacusta	Deb Lacusta
AEK Athens F.C.	AEK Atenas Fútbol Club
Alberto Terry	Alberto Terry
José Eustasio Rivera	José Eustasio Rivera
Ruby Dee	Ruby Dee
China's Next Top Model	China's Next Top Model
Chuck Howley	Chuck Howley
Ian McKellen	Ian McKellen
Adriana Abascal	Adriana Abascal
Marcus Tullius Tiro	Marco Tulio Tirón
Moreno Merenda	Moreno Merenda
Gesche Gottfried	Gesche Gottfried
Mark Weiser	Mark Weiser
E. J. Brady	Edwin James Brady
Eva Arguiñano	Eva Arguiñano
Apache Kid	Apache Kid
Andrea Aleksi	Aleksi Andrea
Bobby Deol	Bobby Deol
Galina Yershova	Galina Yershova
Avram Hershko	Avram Hershko
Auguste Arnaud	Auguste Arnaud
