Name	cricket	literature	family	church/royalty	sports	royalty	music	politics	military	explorers
Helmut Lent	0.01	0.02	0.1	0.02	0.02	0.04	0.01	0.02	0.76	0.01
Du Fu	0.01	0.4	0.36	0.09	0.01	0.02	0.02	0.03	0.02	0.04
John Frusciante	0.01	0.03	0.29	0.0	0.01	0.0	0.64	0.01	0.0	0.01
Toru Takemitsu	0.0	0.15	0.25	0.01	0.01	0.01	0.52	0.01	0.03	0.02
Colley Cibber	0.02	0.45	0.28	0.01	0.01	0.16	0.03	0.01	0.01	0.01
Bedřich Smetana	0.0	0.11	0.31	0.02	0.01	0.04	0.45	0.02	0.03	0.01
Nikolai Kulikovsky	0.0	0.02	0.19	0.01	0.03	0.47	0.0	0.02	0.14	0.12
Rebecca Clarke (composer)	0.02	0.22	0.17	0.01	0.02	0.06	0.46	0.02	0.01	0.02
Assassination of William McKinley	0.01	0.03	0.48	0.0	0.02	0.01	0.02	0.36	0.02	0.05
Blair Wark	0.03	0.01	0.08	0.01	0.02	0.04	0.01	0.01	0.75	0.03
Tool (band)	0.01	0.05	0.22	0.01	0.02	0.01	0.66	0.01	0.01	0.01
Edwin P. Morrow	0.01	0.02	0.16	0.01	0.02	0.02	0.01	0.7	0.02	0.03
Wayne Gretzky	0.01	0.02	0.21	0.01	0.67	0.01	0.02	0.02	0.01	0.01
Henry (Bishop of Finland)	0.01	0.03	0.2	0.53	0.01	0.16	0.01	0.01	0.01	0.03
Jimmy McAleer	0.02	0.06	0.23	0.01	0.5	0.04	0.01	0.1	0.01	0.02
Sviatoslav I of Kiev	0.01	0.04	0.21	0.55	0.02	0.06	0.01	0.02	0.04	0.05
Roman Vishniac	0.01	0.46	0.3	0.06	0.01	0.01	0.03	0.02	0.05	0.06
Edward Low	0.01	0.06	0.27	0.02	0.02	0.05	0.02	0.01	0.05	0.49
George II of Great Britain	0.01	0.01	0.22	0.01	0.01	0.63	0.01	0.04	0.06	0.01
Olivier Messiaen	0.01	0.16	0.12	0.02	0.01	0.04	0.6	0.02	0.01	0.0
Georgette Heyer	0.01	0.5	0.3	0.01	0.01	0.07	0.02	0.02	0.02	0.01
George V	0.02	0.04	0.21	0.01	0.01	0.51	0.01	0.07	0.1	0.02
George Hirst	0.79	0.01	0.16	0.0	0.01	0.01	0.0	0.0	0.0	0.0
Domenico Selvo	0.01	0.01	0.25	0.52	0.01	0.03	0.0	0.06	0.04	0.05
Suleiman the Magnificent	0.01	0.05	0.22	0.48	0.01	0.05	0.0	0.03	0.09	0.07
Roy Welensky	0.01	0.01	0.23	0.01	0.01	0.03	0.01	0.62	0.07	0.02
Clement of Dunblane	0.01	0.02	0.27	0.1	0.01	0.53	0.0	0.03	0.01	0.02
Kroger Babb	0.01	0.47	0.32	0.0	0.05	0.01	0.05	0.05	0.01	0.03
Cædwalla of Wessex	0.01	0.01	0.12	0.77	0.01	0.03	0.01	0.01	0.01	0.03
Hector Waller	0.02	0.02	0.1	0.02	0.02	0.03	0.01	0.02	0.72	0.03
Thomas C. Kinkaid	0.01	0.02	0.11	0.01	0.02	0.03	0.0	0.07	0.7	0.04
Nirvana (band)	0.01	0.02	0.25	0.01	0.01	0.0	0.65	0.02	0.01	0.01
William Wilberforce	0.01	0.08	0.32	0.02	0.0	0.15	0.0	0.37	0.0	0.05
Benjamin Mountfort	0.04	0.42	0.21	0.05	0.01	0.17	0.01	0.03	0.02	0.06
Jack Warner	0.01	0.44	0.27	0.0	0.04	0.02	0.05	0.1	0.04	0.03
Catherine de' Medici	0.01	0.05	0.29	0.05	0.01	0.52	0.01	0.01	0.02	0.03
Laurence of Canterbury	0.01	0.01	0.15	0.65	0.01	0.09	0.01	0.01	0.03	0.02
Charles Eaton (RAAF officer)	0.03	0.01	0.14	0.01	0.01	0.03	0.01	0.03	0.71	0.02
Shen Kuo	0.01	0.3	0.26	0.27	0.01	0.0	0.03	0.04	0.01	0.06
Bobby Eaton	0.02	0.02	0.16	0.01	0.68	0.02	0.04	0.01	0.01	0.02
George Moore (novelist)	0.01	0.56	0.23	0.01	0.02	0.1	0.01	0.03	0.01	0.02
Daisy Jugadai Napaltjarri	0.04	0.67	0.11	0.02	0.01	0.05	0.01	0.01	0.04	0.02
Henry Wood	0.03	0.05	0.27	0.01	0.02	0.07	0.5	0.01	0.03	0.0
Augustus Owsley Stanley	0.01	0.03	0.15	0.01	0.02	0.01	0.01	0.76	0.01	0.01
Elagabalus	0.0	0.12	0.19	0.5	0.01	0.05	0.05	0.03	0.03	0.01
John Treloar (museum administrator)	0.02	0.1	0.25	0.01	0.02	0.01	0.03	0.06	0.49	0.0
Frederick III, German Emperor	0.01	0.03	0.3	0.05	0.01	0.35	0.01	0.1	0.12	0.01
Uriel Sebree	0.01	0.01	0.16	0.01	0.02	0.01	0.02	0.14	0.2	0.43
John Douglas (architect)	0.01	0.44	0.13	0.03	0.01	0.31	0.01	0.01	0.03	0.02
The Orb	0.01	0.05	0.2	0.01	0.01	0.01	0.7	0.0	0.01	0.01
Woodes Rogers	0.01	0.02	0.23	0.01	0.0	0.11	0.01	0.05	0.04	0.52
Early life of Samuel Johnson	0.01	0.43	0.4	0.01	0.01	0.1	0.01	0.03	0.01	0.01
Offa of Mercia	0.01	0.01	0.13	0.76	0.0	0.05	0.0	0.01	0.01	0.01
Joseph Johnson (publisher)	0.01	0.51	0.28	0.01	0.01	0.08	0.0	0.07	0.01	0.02
Nicky Barr	0.04	0.01	0.16	0.01	0.06	0.02	0.02	0.01	0.63	0.03
Æthelred of Mercia	0.01	0.0	0.08	0.82	0.01	0.06	0.0	0.01	0.01	0.01
Faith Leech	0.11	0.03	0.21	0.01	0.52	0.02	0.01	0.02	0.04	0.03
Æthelberht of Kent	0.01	0.01	0.15	0.8	0.0	0.01	0.01	0.01	0.0	0.01
Frederick Scherger	0.02	0.02	0.17	0.0	0.01	0.01	0.01	0.04	0.7	0.01
Rhys ap Gruffydd	0.01	0.01	0.13	0.07	0.01	0.69	0.01	0.02	0.02	0.03
Sigi Schmid	0.03	0.02	0.11	0.01	0.71	0.0	0.02	0.04	0.04	0.02
Vidkun Quisling	0.01	0.03	0.38	0.02	0.0	0.03	0.01	0.14	0.29	0.09
Nguyen Chanh Thi	0.01	0.01	0.28	0.01	0.01	0.01	0.01	0.11	0.1	0.47
Luc Bourdon	0.01	0.02	0.1	0.01	0.76	0.01	0.04	0.02	0.01	0.01
Joel Selwood	0.07	0.03	0.08	0.0	0.77	0.01	0.0	0.02	0.01	0.01
Thomas Playford IV	0.04	0.04	0.32	0.01	0.0	0.02	0.0	0.49	0.07	0.01
Queen Elizabeth The Queen Mother	0.02	0.08	0.3	0.0	0.03	0.4	0.03	0.05	0.07	0.01
Constantine II of Scotland	0.0	0.01	0.1	0.74	0.01	0.1	0.01	0.01	0.01	0.01
Percy Grainger	0.02	0.12	0.3	0.01	0.01	0.06	0.4	0.02	0.04	0.02
Ernest Joyce	0.02	0.04	0.3	0.01	0.02	0.01	0.01	0.02	0.03	0.55
Edwin Taylor Pollock	0.01	0.05	0.12	0.02	0.03	0.03	0.03	0.17	0.22	0.32
Óengus I	0.01	0.02	0.09	0.76	0.01	0.06	0.01	0.01	0.01	0.01
Duncan Edwards	0.11	0.07	0.22	0.01	0.38	0.13	0.02	0.03	0.03	0.01
John W. Johnston	0.01	0.02	0.26	0.01	0.01	0.07	0.01	0.58	0.02	0.02
William IV of the United Kingdom	0.02	0.02	0.31	0.01	0.01	0.48	0.0	0.1	0.04	0.01
Alexander Cameron Rutherford	0.01	0.03	0.23	0.01	0.01	0.04	0.0	0.64	0.01	0.01
Mario Vargas Llosa	0.0	0.55	0.19	0.03	0.01	0.01	0.01	0.07	0.02	0.12
Ian Meckiff	0.74	0.01	0.19	0.0	0.02	0.01	0.0	0.02	0.01	0.01
Arthur Percival	0.03	0.02	0.23	0.01	0.01	0.06	0.01	0.01	0.57	0.04
Witold Pilecki	0.01	0.01	0.16	0.03	0.01	0.01	0.01	0.02	0.59	0.15
Theobald of Bec	0.0	0.01	0.17	0.03	0.0	0.75	0.0	0.02	0.01	0.0
Hugh Trumble	0.76	0.01	0.15	0.0	0.02	0.01	0.01	0.02	0.01	0.01
Wallis Simpson	0.01	0.11	0.27	0.01	0.01	0.47	0.01	0.03	0.05	0.04
Thomas Blamey	0.01	0.01	0.21	0.0	0.01	0.02	0.0	0.06	0.65	0.01
Urse d'Abetot	0.0	0.01	0.1	0.1	0.01	0.73	0.01	0.02	0.01	0.01
Guy Fawkes	0.02	0.04	0.32	0.02	0.01	0.45	0.01	0.02	0.01	0.08
Charles II of England	0.01	0.02	0.19	0.03	0.01	0.63	0.0	0.06	0.04	0.02
Early life and military career of John McCain	0.01	0.06	0.31	0.01	0.05	0.01	0.02	0.09	0.35	0.1
Jay Chou	0.01	0.27	0.19	0.01	0.04	0.01	0.43	0.01	0.02	0.01
