Name	literature	family	generic	music/orchestra	war/ancient	empire/religion	royalty	music/rock	film	politics/art
Helmut Lent	0.04	0.06	0.1	0.1	0.43	0.03	0.06	0.04	0.08	0.06
Du Fu	0.11	0.14	0.18	0.06	0.04	0.12	0.06	0.03	0.06	0.19
John Frusciante	0.02	0.11	0.2	0.02	0.0	0.0	0.01	0.6	0.02	0.01
Colley Cibber	0.34	0.1	0.15	0.05	0.03	0.04	0.03	0.05	0.17	0.03
Alberto Víctor de Clarence	0.06	0.17	0.21	0.01	0.03	0.01	0.45	0.01	0.03	0.02
Rebecca Clarke	0.08	0.07	0.07	0.37	0.04	0.07	0.05	0.09	0.05	0.1
Lady Gregory	0.59	0.05	0.05	0.04	0.03	0.01	0.06	0.09	0.05	0.05
Adeodato de Canterbury	0.02	0.08	0.18	0.01	0.02	0.6	0.04	0.03	0.01	0.01
Wayne Gretzky	0.02	0.06	0.18	0.01	0.02	0.0	0.01	0.04	0.63	0.03
Samuel Johnson	0.33	0.25	0.24	0.02	0.02	0.04	0.05	0.02	0.01	0.02
Edward Low	0.17	0.13	0.09	0.07	0.13	0.09	0.07	0.09	0.07	0.08
Olivier Messiaen	0.05	0.09	0.18	0.59	0.01	0.02	0.01	0.02	0.01	0.03
Georgette Heyer	0.45	0.12	0.26	0.01	0.02	0.01	0.05	0.04	0.03	0.01
Manuel I Comneno	0.01	0.05	0.28	0.01	0.08	0.48	0.05	0.01	0.01	0.02
Bedřich Smetana	0.02	0.13	0.26	0.5	0.03	0.01	0.02	0.01	0.01	0.01
Thomas Cranmer	0.02	0.09	0.2	0.03	0.03	0.13	0.41	0.02	0.03	0.02
Honório Carneiro Leão	0.03	0.19	0.19	0.02	0.14	0.07	0.24	0.02	0.02	0.08
William Wilberforce	0.27	0.05	0.18	0.03	0.08	0.07	0.17	0.04	0.05	0.08
Benjamin Mountfort	0.1	0.13	0.26	0.02	0.03	0.05	0.05	0.01	0.01	0.35
Jack Warner	0.05	0.24	0.11	0.04	0.07	0.03	0.03	0.14	0.25	0.06
Mariano Rivera	0.06	0.05	0.15	0.03	0.04	0.04	0.02	0.03	0.52	0.07
Shen Kuo	0.16	0.08	0.12	0.05	0.15	0.1	0.07	0.03	0.04	0.2
Anna de Estanglia	0.02	0.11	0.11	0.01	0.01	0.67	0.03	0.01	0.02	0.02
Henry Wood	0.07	0.07	0.1	0.52	0.02	0.02	0.07	0.05	0.02	0.06
Jarome Iginla	0.01	0.07	0.31	0.01	0.05	0.01	0.0	0.02	0.5	0.02
Stanley Holloway	0.15	0.05	0.07	0.08	0.04	0.01	0.06	0.19	0.29	0.07
Offa de Mercia	0.03	0.05	0.26	0.02	0.02	0.53	0.05	0.01	0.01	0.02
Woodes Rogers	0.07	0.12	0.12	0.04	0.2	0.08	0.09	0.05	0.12	0.1
Elena del Reino Unido	0.03	0.04	0.06	0.02	0.02	0.03	0.71	0.02	0.03	0.03
Alcibíades	0.01	0.09	0.31	0.01	0.52	0.04	0.01	0.0	0.01	0.01
Jorge I de Grecia	0.01	0.05	0.24	0.01	0.15	0.07	0.43	0.0	0.02	0.02
Tiridates I de Armenia	0.01	0.08	0.27	0.02	0.08	0.48	0.03	0.01	0.01	0.02
Sigi Schmid	0.04	0.04	0.06	0.05	0.03	0.03	0.05	0.09	0.52	0.1
Vidkun Quisling	0.02	0.08	0.38	0.02	0.42	0.01	0.05	0.0	0.01	0.01
Natalie Clifford Barney	0.41	0.2	0.22	0.05	0.01	0.01	0.03	0.02	0.03	0.04
Ernest Joyce	0.02	0.18	0.27	0.0	0.47	0.01	0.02	0.01	0.01	0.01
Edwin Taylor Pollock	0.09	0.06	0.1	0.08	0.22	0.1	0.09	0.1	0.08	0.08
Rush	0.02	0.03	0.17	0.02	0.01	0.0	0.01	0.68	0.04	0.03
Duncan Edwards	0.03	0.16	0.23	0.02	0.06	0.02	0.05	0.02	0.36	0.04
Jacobo I de Inglaterra y VI de Escocia	0.03	0.08	0.26	0.01	0.03	0.05	0.52	0.0	0.01	0.01
Mary Anning	0.38	0.22	0.29	0.01	0.02	0.02	0.02	0.0	0.01	0.02
Mario Vargas Llosa	0.27	0.15	0.19	0.04	0.07	0.02	0.05	0.01	0.06	0.16
Witold Pilecki	0.01	0.07	0.19	0.02	0.61	0.02	0.04	0.01	0.01	0.02
Thomas Beecham	0.1	0.15	0.09	0.39	0.03	0.03	0.07	0.04	0.05	0.05
Thomas Blamey	0.03	0.03	0.11	0.03	0.6	0.02	0.04	0.02	0.06	0.06
Sebastian Shaw	0.22	0.1	0.16	0.08	0.02	0.01	0.04	0.08	0.27	0.02
Jay Chou	0.02	0.08	0.14	0.1	0.03	0.01	0.02	0.17	0.35	0.09
Pedro II de Brasil	0.02	0.29	0.33	0.01	0.08	0.09	0.15	0.0	0.01	0.02
Oliver Wendell Holmes	0.22	0.17	0.06	0.05	0.12	0.07	0.08	0.09	0.09	0.06
Wesley Clark	0.04	0.06	0.09	0.03	0.35	0.07	0.06	0.06	0.09	0.14
Harmon Killebrew	0.03	0.09	0.14	0.03	0.04	0.03	0.03	0.05	0.47	0.08
Abdul Karim	0.09	0.14	0.15	0.06	0.04	0.07	0.19	0.04	0.11	0.11
Ulrico Zuinglio	0.09	0.09	0.29	0.05	0.03	0.32	0.05	0.01	0.02	0.05
Dominik Hašek	0.01	0.02	0.17	0.02	0.02	0.01	0.02	0.02	0.67	0.04
Eduardo VI de Inglaterra	0.02	0.08	0.2	0.01	0.02	0.04	0.58	0.01	0.02	0.03
Arresto y asesinato de Ngô Đình Diệm	0.01	0.05	0.29	0.02	0.51	0.02	0.04	0.01	0.01	0.03
Makinti Napanangka	0.07	0.07	0.09	0.13	0.16	0.09	0.07	0.09	0.06	0.16
Benjamin Harrison	0.05	0.05	0.21	0.04	0.13	0.1	0.05	0.08	0.13	0.17
W. S. Gilbert	0.39	0.09	0.23	0.12	0.02	0.01	0.02	0.02	0.08	0.02
Chester A. Arthur	0.02	0.19	0.27	0.01	0.06	0.01	0.08	0.02	0.04	0.3
