Name	music	literature + other	orchestra	family life	church/royalty	sports	royalty	film/tv	politics	military
Frédéric III d'Allemagne	0.0	0.04	0.01	0.17	0.02	0.01	0.52	0.01	0.02	0.2
Alcibiade	0.05	0.34	0.09	0.05	0.1	0.05	0.08	0.07	0.08	0.08
Du Fu	0.03	0.22	0.14	0.27	0.05	0.04	0.06	0.05	0.04	0.1
John Frusciante	0.7	0.01	0.01	0.15	0.0	0.02	0.01	0.04	0.01	0.05
Helmut Lent	0.03	0.04	0.04	0.05	0.04	0.09	0.04	0.03	0.04	0.61
Colley Cibber	0.03	0.09	0.12	0.14	0.05	0.04	0.08	0.37	0.02	0.06
Bedřich Smetana	0.04	0.03	0.59	0.09	0.03	0.01	0.04	0.04	0.07	0.07
Rebecca Clarke	0.06	0.04	0.51	0.18	0.02	0.01	0.03	0.1	0.03	0.02
Sarah Churchill	0.01	0.02	0.01	0.2	0.02	0.01	0.56	0.03	0.03	0.13
Henri d'Uppsala	0.0	0.08	0.02	0.17	0.56	0.01	0.02	0.01	0.01	0.12
Wayne Gretzky	0.01	0.0	0.0	0.04	0.0	0.87	0.0	0.01	0.01	0.04
Urse d'Abbetot	0.01	0.04	0.04	0.14	0.55	0.02	0.06	0.02	0.02	0.09
Jimmy McAleer	0.05	0.03	0.03	0.06	0.02	0.5	0.04	0.04	0.12	0.11
Samuel Johnson	0.01	0.17	0.01	0.3	0.01	0.01	0.05	0.32	0.03	0.1
Olga Alexandrovna de Russie	0.01	0.07	0.11	0.12	0.02	0.04	0.42	0.04	0.13	0.04
Peter Evans (natation)	0.07	0.05	0.08	0.07	0.07	0.47	0.05	0.06	0.05	0.05
Edward Low	0.09	0.14	0.06	0.25	0.07	0.05	0.03	0.05	0.05	0.19
Rufus Griswold	0.02	0.09	0.02	0.24	0.01	0.02	0.06	0.39	0.02	0.12
Olivier Messiaen	0.03	0.08	0.65	0.06	0.02	0.02	0.04	0.02	0.01	0.07
Georgette Heyer	0.07	0.29	0.03	0.25	0.01	0.02	0.08	0.13	0.02	0.11
Paulin d'York	0.02	0.03	0.02	0.1	0.6	0.01	0.04	0.02	0.1	0.07
Bill Brown (cricket)	0.07	0.07	0.09	0.1	0.07	0.21	0.07	0.07	0.1	0.13
Æthelbald de Mercie	0.01	0.03	0.01	0.08	0.76	0.01	0.01	0.0	0.05	0.04
Roy Welensky	0.02	0.03	0.04	0.1	0.04	0.16	0.07	0.02	0.4	0.11
George Calvert	0.04	0.04	0.05	0.17	0.08	0.04	0.27	0.08	0.1	0.13
Ernest Shackleton	0.02	0.02	0.01	0.69	0.01	0.02	0.04	0.03	0.02	0.14
Honório Carneiro Leão	0.0	0.02	0.01	0.06	0.02	0.01	0.15	0.01	0.56	0.17
Guillaume III d'Orange-Nassau	0.01	0.02	0.01	0.03	0.03	0.01	0.52	0.02	0.19	0.16
Louis Alexandre de Battenberg	0.03	0.02	0.05	0.05	0.05	0.04	0.61	0.05	0.05	0.05
William Wilberforce	0.01	0.11	0.01	0.11	0.02	0.01	0.1	0.04	0.46	0.13
Benjamin Mountfort	0.08	0.09	0.18	0.09	0.1	0.08	0.08	0.1	0.08	0.12
Jack Warner	0.21	0.07	0.08	0.06	0.05	0.07	0.06	0.24	0.06	0.11
Mariano Rivera	0.06	0.01	0.03	0.05	0.01	0.7	0.01	0.02	0.03	0.08
Shen Kuo	0.01	0.47	0.04	0.22	0.03	0.01	0.01	0.01	0.07	0.13
Jarome Iginla	0.03	0.02	0.06	0.04	0.03	0.67	0.05	0.04	0.05	0.02
Soliman le Magnifique	0.01	0.06	0.02	0.09	0.37	0.01	0.05	0.02	0.14	0.22
Wail al-Shehri	0.14	0.06	0.13	0.07	0.11	0.1	0.07	0.1	0.06	0.16
Stanley Holloway	0.19	0.03	0.03	0.04	0.03	0.03	0.05	0.55	0.02	0.03
The Orb	0.72	0.01	0.02	0.13	0.0	0.01	0.0	0.02	0.01	0.06
Étienne d'Angleterre	0.0	0.01	0.01	0.16	0.48	0.01	0.14	0.0	0.02	0.19
Guillaume IV du Royaume-Uni	0.0	0.02	0.0	0.09	0.03	0.01	0.48	0.01	0.24	0.11
Nicky Barr	0.09	0.06	0.06	0.11	0.06	0.22	0.09	0.07	0.06	0.17
Périclès	0.0	0.38	0.01	0.19	0.1	0.01	0.03	0.01	0.04	0.22
Théramène	0.04	0.25	0.04	0.1	0.06	0.1	0.1	0.05	0.12	0.13
Sigi Schmid	0.07	0.03	0.04	0.04	0.03	0.5	0.03	0.09	0.07	0.09
Vidkun Quisling	0.02	0.04	0.03	0.22	0.02	0.02	0.1	0.03	0.12	0.41
William Brill	0.02	0.02	0.02	0.13	0.03	0.08	0.02	0.02	0.02	0.64
John Wark	0.02	0.01	0.01	0.12	0.01	0.71	0.02	0.02	0.01	0.08
Elizabeth Bowes-Lyon	0.02	0.02	0.04	0.08	0.04	0.02	0.58	0.05	0.04	0.13
Natalie Clifford Barney	0.02	0.12	0.11	0.19	0.02	0.03	0.07	0.3	0.07	0.07
Percy Grainger	0.14	0.03	0.39	0.1	0.02	0.02	0.04	0.16	0.03	0.07
Ernest Joyce	0.01	0.01	0.01	0.76	0.01	0.05	0.02	0.02	0.01	0.1
Rutherford Birchard Hayes	0.0	0.01	0.0	0.07	0.0	0.02	0.02	0.02	0.7	0.14
Anne de Danemark	0.04	0.04	0.04	0.15	0.06	0.03	0.47	0.04	0.03	0.08
Duncan Edwards	0.02	0.02	0.04	0.18	0.02	0.52	0.03	0.03	0.02	0.12
Alice de Battenberg	0.0	0.03	0.01	0.21	0.02	0.01	0.52	0.01	0.02	0.18
Alexander Cameron Rutherford	0.11	0.08	0.11	0.08	0.08	0.13	0.09	0.09	0.13	0.11
Aldfrith de Northumbrie	0.0	0.05	0.01	0.11	0.63	0.01	0.03	0.02	0.06	0.08
Mary Anning	0.02	0.17	0.05	0.43	0.03	0.02	0.06	0.13	0.02	0.08
Mario Vargas Llosa	0.02	0.36	0.08	0.16	0.02	0.04	0.07	0.05	0.09	0.1
Dioclétien	0.01	0.04	0.01	0.13	0.47	0.01	0.05	0.01	0.03	0.24
Witold Pilecki	0.01	0.03	0.03	0.11	0.02	0.03	0.01	0.02	0.13	0.61
Hugh Trumble	0.1	0.05	0.09	0.06	0.06	0.37	0.06	0.06	0.07	0.08
Thomas Blamey	0.01	0.01	0.01	0.14	0.01	0.02	0.03	0.03	0.08	0.64
Jacques Ier d'Angleterre	0.01	0.06	0.02	0.17	0.07	0.01	0.47	0.02	0.02	0.16
Nikolaï Rimski-Korsakov	0.01	0.06	0.54	0.21	0.01	0.01	0.02	0.01	0.02	0.1
Jay Chou	0.33	0.09	0.09	0.1	0.07	0.04	0.02	0.15	0.06	0.05
Faryl Smith	0.23	0.08	0.13	0.1	0.06	0.06	0.06	0.13	0.08	0.08
Yagan (Australie)	0.08	0.07	0.12	0.08	0.11	0.09	0.12	0.08	0.11	0.15
Nick Adenhart	0.06	0.04	0.03	0.1	0.04	0.5	0.03	0.07	0.04	0.09
Pie XII	0.01	0.37	0.02	0.12	0.06	0.01	0.03	0.01	0.06	0.32
Paul Kane	0.06	0.06	0.34	0.14	0.03	0.12	0.03	0.07	0.12	0.04
Stamáta Revíthi	0.03	0.09	0.01	0.2	0.05	0.24	0.08	0.02	0.06	0.2
Oliver Wendell Holmes	0.11	0.14	0.08	0.08	0.06	0.06	0.08	0.1	0.16	0.13
Manuel Ier Comnène	0.0	0.03	0.01	0.16	0.41	0.01	0.06	0.0	0.03	0.29
Ulrich Zwingli	0.0	0.45	0.02	0.11	0.06	0.01	0.04	0.0	0.11	0.2
Wesley Clark	0.03	0.04	0.01	0.09	0.01	0.04	0.01	0.03	0.43	0.32
Harmon Killebrew	0.07	0.02	0.05	0.04	0.04	0.59	0.05	0.05	0.05	0.05
Stede Bonnet	0.08	0.02	0.03	0.23	0.08	0.12	0.1	0.06	0.06	0.2
Sebastian Shaw (acteur)	0.15	0.06	0.08	0.1	0.06	0.06	0.07	0.26	0.07	0.07
Dominik Hašek	0.01	0.0	0.01	0.04	0.01	0.87	0.01	0.01	0.01	0.03
Æthelberht de Kent	0.01	0.04	0.02	0.12	0.6	0.03	0.04	0.02	0.03	0.1
Augustin de Cantorbéry	0.03	0.09	0.03	0.09	0.53	0.03	0.05	0.01	0.02	0.12
The Smashing Pumpkins	0.68	0.01	0.04	0.13	0.01	0.02	0.01	0.04	0.01	0.05
Benjamin Harrison	0.01	0.03	0.01	0.06	0.0	0.02	0.03	0.01	0.69	0.13
Harry Murray	0.05	0.08	0.08	0.14	0.08	0.07	0.08	0.06	0.08	0.29
Helena du Royaume-Uni	0.04	0.04	0.05	0.05	0.04	0.04	0.56	0.06	0.05	0.06
Witold Lutosławski	0.04	0.03	0.59	0.05	0.03	0.03	0.06	0.03	0.06	0.08
Thibaut du Bec	0.0	0.01	0.0	0.09	0.62	0.0	0.08	0.0	0.06	0.13
James Joyce	0.02	0.18	0.08	0.32	0.01	0.02	0.04	0.24	0.02	0.07
Gustav Mahler	0.02	0.05	0.51	0.22	0.02	0.02	0.02	0.01	0.02	0.11
Martin Bucer	0.03	0.44	0.05	0.14	0.05	0.02	0.06	0.03	0.06	0.12
Honoré de Balzac	0.0	0.53	0.07	0.17	0.02	0.0	0.07	0.04	0.01	0.09
Wulfhere de Mercie	0.01	0.01	0.0	0.05	0.8	0.01	0.03	0.01	0.04	0.04
Beatrice du Royaume-Uni	0.01	0.03	0.03	0.24	0.01	0.01	0.57	0.01	0.02	0.09
