#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Aaron_Sorkin	film,0.5145482388973966	literature,0.10872894333843798	generic,0.09494640122511486	family,0.08422664624808576	music/rock,0.08422664624808576	war/ancient,0.030627871362940276	politics/art,0.027565084226646247	music/orchestra,0.026033690658499236	empire/religion,0.016845329249617153	royalty,0.01225114854517611
Abbas_Kiarostami	politics/art,0.3218390804597701	literature,0.135632183908046	film,0.12413793103448276	music/rock,0.09195402298850575	family,0.08735632183908046	music/orchestra,0.08735632183908046	generic,0.059770114942528735	war/ancient,0.0367816091954023	royalty,0.034482758620689655	empire/religion,0.020689655172413793
Abdul_Karim	royalty,0.18633540372670807	generic,0.14906832298136646	family,0.14285714285714285	film,0.11180124223602485	politics/art,0.10559006211180125	literature,0.08695652173913043	empire/religion,0.07453416149068323	music/orchestra,0.055900621118012424	music/rock,0.043478260869565216	war/ancient,0.043478260869565216
Abu_Nidal	politics/art,0.40049751243781095	generic,0.12437810945273632	family,0.11442786069651742	war/ancient,0.08955223880597014	empire/religion,0.08955223880597014	literature,0.05970149253731343	royalty,0.0472636815920398	film,0.02736318407960199	music/rock,0.02736318407960199	music/orchestra,0.01990049751243781
AC_DC	music/rock,0.6397216274089935	generic,0.11937901498929336	family,0.08297644539614561	film,0.059421841541755886	literature,0.035331905781584586	war/ancient,0.022483940042826552	politics/art,0.014989293361884369	empire/religion,0.010171306209850108	royalty,0.009100642398286937	music/orchestra,0.006423982869379015
Adam_Gilchrist	film,0.13846153846153847	royalty,0.12307692307692308	music/orchestra,0.1076923076923077	music/rock,0.1076923076923077	literature,0.1076923076923077	generic,0.09230769230769231	war/ancient,0.09230769230769231	family,0.07692307692307693	politics/art,0.07692307692307693	empire/religion,0.07692307692307693
Adelaide_Anne_Procter	literature,0.41656050955414015	family,0.20254777070063695	generic,0.1859872611464968	royalty,0.04076433121019108	music/rock,0.03949044585987261	music/orchestra,0.02802547770700637	politics/art,0.025477707006369428	film,0.024203821656050957	war/ancient,0.02165605095541401	empire/religion,0.015286624203821656
Adeodato_de_Canterbury	empire/religion,0.5986159169550173	generic,0.17647058823529413	family,0.08304498269896193	royalty,0.03806228373702422	music/rock,0.0265282583621684	literature,0.0196078431372549	war/ancient,0.01845444059976932	music/orchestra,0.014994232987312572	politics/art,0.01384083044982699	film,0.010380622837370242
Adolfo_Farsari	politics/art,0.4472396925227114	generic,0.24528301886792453	family,0.09154437456324249	literature,0.06848357791754019	music/orchestra,0.047519217330538085	music/rock,0.0363382250174703	royalty,0.017470300489168415	empire/religion,0.01607267645003494	film,0.015373864430468204	war/ancient,0.014675052410901468
Adrian_Boult	music/orchestra,0.5044404973357016	generic,0.17229129662522202	film,0.07104795737122557	music/rock,0.0586145648312611	royalty,0.0497335701598579	literature,0.04262877442273535	family,0.03019538188277087	war/ancient,0.03019538188277087	politics/art,0.023090586145648313	empire/religion,0.017761989342806393
Aelle_de_Sussex	empire/religion,0.6251039068994181	generic,0.21529509559434745	family,0.05320033250207814	literature,0.02493765586034913	royalty,0.019118869492934332	politics/art,0.017456359102244388	music/orchestra,0.014131338320864505	war/ancient,0.013300083125519535	film,0.010806317539484621	music/rock,0.006650041562759767
