	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
A. E. J. Collins	0.00110598511633533	0.000254896602612333	0.00638051552350333	0.00161922436140267	0.000797228864278	0.00461777519919	0.00341381465621667	0.02553960290012	0.00109667315507867	0.259585685179333	0.000661424166298667	0.000210887212872667	0.000697878142279	0.000211666164693933	0.433417665328	0.0579025987092333	0.202486478718333
Abdul Karim (the Munshi)	0.00512793997446333	0.000189773092227	0.00732305014763333	0.0122227451937756	0.001030354395138	0.0535417965014333	0.0230677638666333	0.0300951430242733	0.000125611084696467	0.158543452161667	0.0302545086035333	0.000547665869271667	0.0949416591596667	0.003681295499794	0.000373882444143667	0.0250467128243333	0.553886646157
Acdc	0.0170655939752667	0.104178059233	0.1221501908502	0.0121052097199333	0.0294064164442333	0.0532069954167	0.0404004635673333	0.0687819420882667	0.0337076253809333	0.0732758277572667	0.0407775617165667	0.0125224216239667	0.0333842362457333	0.01675776328374	0.0567744705534667	0.0235668085309667	0.261938413612333
Adam Gilchrist	0.000287063156539367	6.24392467293333e-05	0.000534879979036	0.000124103660495067	0.000313684706819333	0.00998496588359367	0.000294718403345	0.0323779686687	0.000487169695996	0.0529571607447667	0.0226029770856667	0.000555157811995	0.000708645069576667	0.000155811348600933	0.693552103701	0.000776003042257333	0.184225147794667
Adrian Cole (RAAF officer)	0.000308597187590333	0.00282677488455	0.0417914911460333	0.0625390649456957	0.000552336934172	0.00555989025622333	0.00137004949084333	0.0244915193044667	0.000757372671679667	0.0777695568199667	0.0966237767281	0.000133521742021	0.00133479026276233	0.00209576147555133	0.00392192652605	0.493548107968333	0.184375461655667
Áedán mac Gabráin	0.00406225239345667	0.000121407478189667	0.000990908111209667	0.000189198653458667	0.00219080647020467	0.000280408729514667	0.0258894266913	0.00103833702977633	0.000895607022177	0.00550944422615	0.003725811038524	0.0131266040663567	0.323224762535667	0.000222077302381	0.000368921873021667	0.0333377561455663	0.584826270233
Albert Stanley, 1st Baron Ashfield	0.0004018710506661	0.257363367573667	0.110636232256233	0.0135321558419223	0.00449245976096667	0.000310951270301	0.001883914398318	0.0016178515763	0.01061409704222	0.0640031298664	0.198829143053333	0.0001119387491487	0.00134851857686233	0.0989445588790267	0.000775443722314	0.0264915039218667	0.208642862460667
Albertus Soegijapranata	0.00560284568222433	0.00666437859906	0.132577574325333	0.0114900339800793	0.0120828872020133	0.00688330870035667	0.0136211851444667	0.0101161707118467	0.00483819766634	0.101078369991367	0.201178053568667	0.205063556952667	0.0250178060820767	0.000439820006708667	0.000514747894441333	0.06043071992	0.202400343572667
Alexander Cameron Rutherford	0.000391552526922	0.0955297452913333	0.0871355533593333	0.008561916321973	0.000137655488811633	0.00283996458062767	0.000928444461408667	0.005877534708503	0.000149303961052967	0.0999026770845	0.401481653883667	0.00380571484665833	0.0261885436864667	0.0161763227494882	0.00170972054846333	0.00514051343516167	0.244043183066
Alexander of Lincoln	0.00478193520256	0.000109948642302667	0.0174235195485667	0.000139509465623667	0.000578512016519	0.0364511492496667	0.01500612494555	0.00144496932459	0.000478666578605667	0.0108907360357733	0.00472462700422333	0.255074380581333	0.410472531578333	0.000126111126998033	0.000652472316699	0.0118948926746557	0.229749913707667
Alexandre Banza	0.0001218774728579	0.000611717946898	0.00113973318784767	0.000267631937443333	0.000419679811726	0.136913749988333	0.000460325328216	0.00778885319915133	0.000324155540091667	0.0196552226432333	0.359241765091333	0.000149990457067833	0.03140522415684	0.000224999010628667	0.000736485459463667	0.181965165291667	0.258573423477
Alexis Bachelot	0.00034228059941	0.000263355827215667	0.0363742803195667	0.23331838619	0.000407591456028	0.000589896618221333	0.000663563366300667	0.00145985199203333	0.000322169136119333	0.0485321336097667	0.121695916944333	0.223705270849333	0.0555753973354333	0.0049462866986381	0.00117733338313167	0.0484277076722333	0.222198578002333
Alice Ayres	0.113389595037767	0.0364646056123333	0.00385930028334833	0.0212305827973867	0.0400827386926333	0.00423513464538333	0.01552417262044	0.0413394002640667	0.000148870967016667	0.250070726199	0.02614343677026	0.0297657540556	0.000280778363756667	0.00254731402649603	0.00343334284025667	0.0539777336906	0.357506513133667
Alice in Chains	0.000374716907997567	0.00393682389958	0.000413266964227667	0.000427489516844	0.000505026676524667	0.0215134815640667	0.00200362587580067	0.0496789338839133	0.732463471934667	0.0154825535619	0.000351595241368333	0.000167190634782867	0.000247651280984	0.00116050311209833	0.00104347529890067	0.0001869156238109	0.170043278022333
Alister Murdoch	0.000149551158634333	0.0237920440787133	0.036712179024	0.0769927728995333	0.00291852132115233	0.00033862246565	0.000674510707865	0.00270306505292333	0.00162245162823267	0.0135711458920833	0.122503183671667	0.000101789759358	0.00608989811829567	0.0164432594779297	0.0121726808834933	0.414188206319333	0.269026117541333
Ambrose Rookwood	0.000138873361921333	0.000145591931926	0.000479225541226667	0.0185316398032067	0.000156626791194333	0.184007825575333	0.000576527324902667	0.00691491521155133	0.000347785626671	0.1225007026679	0.001437853622933	0.0795414849241333	0.199811895374667	0.000155616551383733	0.000712465269994667	0.05929800036546	0.325242970055333
Andjar Asmara	0.000784973252251	0.0266187475352667	0.0780497713459667	0.000450349633268	0.00473372692613967	0.000591653143457333	0.273683990993333	0.346297948176	0.00233982317474667	0.0679610578080667	0.0437267968537	0.00108306143171133	0.00204679357435067	0.00431396676512733	0.00221238806748367	0.000997574801941667	0.144107376516667
André Kertész	0.301912983082333	0.0204860149702667	0.0904968430470667	0.0001251163319674	0.000816940599130667	0.000419869612471333	0.0891355795401667	0.0449491545737333	0.00461162584500667	0.21796509844	0.014693515032197	0.000352718993070667	0.000580284388230333	0.000111976755579433	0.000534786418186333	0.000576470163171333	0.212231022207
Andrew Johnston (singer)	0.000294645626198	0.000172993775085667	0.0417776190344333	0.000196745396965333	0.000781901630090667	0.00295186653813	0.00269823068024	0.291216139093	0.297629934411333	0.0994832476755333	0.00117289299824667	0.00303217379418	0.00261299673924033	0.000279430568398667	0.0503927415635	0.000679493310185	0.204626947164967
Angelina Jolie	0.000294640692712167	0.0246148585673667	0.0484682193865	0.00261063849733333	0.00473475781314167	0.0343040352316333	0.001692663655375	0.478834281227667	0.00225776382239	0.142360791467333	0.0145324474447967	0.000119403614969367	0.00481757208283	0.00581095431889667	0.00107399692538267	0.004484505169789	0.228988470081667
Angus Lewis Macdonald	0.00230711074585167	0.0671952854138667	0.0561468381580667	0.0125222573921768	0.01226545590343	0.00120185947775733	0.001431407103996	0.00988764034112	0.000712334900477333	0.041847804773	0.416619135219667	4.53616867534333e-05	0.00879088759706767	0.00958572895831127	0.004086004039599	0.0575369037822	0.297817984506333
Anne Hutchinson	0.00100497332483367	0.000103533771688667	0.000228681285841667	0.0628969294380333	0.0394586329126	0.076052151166	0.00444524474481333	0.00603912815538233	0.000161777081484667	0.135580990023	0.0732426249034667	0.181508708505333	0.0642793716325333	0.00194574592456837	9.63269491371667e-05	0.00145965086861153	0.351495529312667
Archie Jackson	0.0014398686412	0.000293083124200033	0.000632488939814667	0.00195033810544667	0.000240691090265	0.00123516362936167	0.00126352899977833	0.0316450837209333	0.01127805203217	0.224900762545667	0.003561555636021	0.0001141648146245	0.000646255178536333	0.00211901341112333	0.389430461612333	0.00442394385172667	0.324825544667333
Art Houtteman	8.64027173649333e-05	0.000365028321898	0.000359173977583333	0.000136931147510667	0.000133835695913	0.000665582667901667	0.000173207286670333	0.0430109235117667	0.000256200398361333	0.0523851110285	0.000507032126642667	4.82474374039333e-05	0.000566724953296667	0.000719208525635333	0.737923892724667	0.00400541366437	0.158657083814733
Arthur Gilligan	8.82707348862667e-05	0.000674771304508333	0.0259059330309333	0.000164324854323667	0.0106429708896533	0.000155025649652867	0.0194847605003	0.0105626240070633	0.00209213821328	0.181319366845667	0.0377419540191	0.000868363226616667	0.000117204883569833	0.000668555004125667	0.391865658065667	0.0115252212519333	0.306122857518667
Arthur Mold	0.000102737762542067	0.0001392322530041	0.000995093064319667	0.0037906133554868	0.000514314560974633	0.0464818816976	0.000362744654103	0.0362436565233767	0.000195757359436	0.175426213449	0.00279363254617	0.000606888859898333	0.000249532410584067	5.61266402133e-05	0.391054000049	0.000375009673699	0.340612565141
Arthur Morris	6.64781756474667e-05	0.00181596805115	0.000409867070933667	2.70237638439e-05	0.000956358310091667	8.38924925515333e-05	0.000524900069777333	0.0253864388322733	0.003426574454794	0.1036387731121	0.016716092858	3.88029533658333e-05	0.00050346166353	0.000215628004731467	0.551146783959333	0.00615997190464667	0.288882984323
Arthur Sifton	9.39332839025e-05	0.0545073694542333	0.000940404338609333	0.00207184668775233	0.000441002366724333	0.0191174974926333	0.000297425074198667	0.005617257275359	0.000124401986539933	0.0545026618864	0.477887064643	0.00148192182415433	0.0275361111085267	0.006646498264613	0.000581854346505667	0.01373992743892	0.334412822527667
Audioslave	0.001496621236063	0.0105122564783333	0.000431354507152667	0.000253654977029	0.0222503556487267	0.01360316573181	0.00151233520272067	0.0888106954131	0.572155167124333	0.00199970344829	0.0380901392973333	7.00342157734e-05	0.000547186486502	0.00114520601314183	0.00277836213237333	0.000558385924439	0.243785376163
Augustus Owsley Stanley	0.000128543625742	0.0564715782460333	0.00570594209703667	0.000687550265756667	0.000185231728048	0.0161226508784667	0.00253006739790567	0.0096084427774	0.000363055168082667	0.0706101433604	0.620344240492667	0.000720328991403667	0.00154853391835833	0.00282193625799467	0.0238675533662	0.000193034434683667	0.188091166993667
Avery Brundage	0.0224046854356	0.0447046526949333	0.0369566511384333	0.00831865716725	0.001929851710898	0.0278681490275667	0.00461317868482333	0.0337949493783667	0.000930390820787667	0.0559351389974333	0.238911486935667	0.000251190298663	0.0124131783012267	0.00562222367271264	0.151872515646333	0.000623218471672667	0.352849881617667
Ba Cut	0.00258354200540333	0.0102145790875333	0.000300086353970667	0.000820905338651533	0.00227860252657467	0.0592527427741	0.000702254652940333	0.00954382392924	0.000907403616203	0.00746448994036	0.246588209302	0.0144732746652667	0.140003427649607	0.000994377692967	0.000343646806177333	0.249257220013667	0.254271413645
Baldwin of Forde	0.000317405461188667	0.00407007134482033	0.00589341463899667	0.000120695285253033	0.000607639399780667	0.0226489286964	0.112737155278533	0.000640655606766333	0.00330798205879	0.00191446044970967	0.0457888185464	0.276369120952667	0.191198697638333	0.000134425674875233	0.000259674750855333	0.00320895598083333	0.330781898236333
Bart King	0.000844826941838333	0.00109267924227633	0.00543001705999667	0.0003022577380409	0.000144480529000667	0.00185774407645	0.00729214459178	0.0301323330332367	0.00345693741305	0.228803686792667	0.000522358175994	0.000143238888559333	0.000524178473916	0.000108056339611567	0.468941176939	0.000543445680723333	0.249860438084
Barthélemy Boganda	0.00101041408773667	0.0220560380476	0.00706984764031333	0.0353318934876	0.00688144148684367	0.0124315343561	0.00918631081554333	0.01170685313135	0.000669558424106	0.0620754379739333	0.439051491858	0.0787483751353333	0.024612241043924	0.012952881337757	0.000301841142831667	0.0221924956276167	0.253721344403
Bedřich Smetana	0.00335550490465167	0.00016864034053	0.00926435682948667	9.0355615225e-05	0.0212402882781233	9.69177097528e-05	0.0732581787812	0.00365093819861867	0.310766205659	0.157938411204333	0.0605740980155333	8.65776391961e-05	0.0187168212144333	0.002624868162598	0.00178864045952	0.00143652862305933	0.334942668364667
Ben Paschal	0.000126026277688667	0.00148182917452333	0.000386870213165333	0.000197408723539433	0.000220172985305667	0.000547458600917667	0.000318784540081333	0.0130495970814267	0.000872534826276333	0.0602994674981	0.000726381410937333	5.78804553988e-05	0.000427496595862667	0.00098274149205	0.834261073448	0.000769311411103667	0.0852749652656333
Benjamin Franklin Tilley	0.000411397386732667	0.00863547821592	0.0232114671102	0.1144405254219	0.001132120396015	0.0393671313491	0.00108771871779933	0.001023338465432	0.00108543984647667	0.0623134204183	0.172018990602667	0.000786039563325667	0.130799364742267	0.00103488480606333	0.000912129182248333	0.299075573911667	0.142664979863667
Benjamin Harrison	0.000166810342925267	0.0279026812380667	0.0345350031443333	0.0185846574617067	0.000274355501841133	0.0205885965154667	0.000464700433031667	0.00360225752403967	0.00343582639429667	0.122565134376	0.488745975571333	0.000328996778515367	0.0253585779604033	0.00157963365822533	0.0157812616266333	0.0349088564693667	0.201176675003667
Beorhtwulf of Mercia	0.00546748578527367	0.0207648450522333	0.000700186250747667	0.000722397395766	0.00078040740066	0.00581652228649667	0.00153852023753633	0.002152478169858	0.00239175603315333	0.00253497155152	0.001065825280638	0.0253093821916667	0.406364962740333	0.00754847198155233	0.000947774184020667	0.020660674558172	0.495233338900333
Bernard Bosanquet (cricketer)	0.000139332812999433	0.00256560601466467	0.001694884512029	8.49671046777333e-05	0.000961535745299333	8.26211530780333e-05	0.002588679394204	0.0223223789421167	0.0110941976594333	0.163894835632333	0.000585468079584	6.42263003524667e-05	0.0001392350564174	0.00697448627766	0.514771923910667	0.000387343149785333	0.271648278254333
Bert T. Combs	0.000132397699221	0.0772960741653333	0.0679594988873667	0.00789188238644	8.65473061072e-05	0.0642975347529333	0.000106259219715033	0.017890420870988	0.000105402603174467	0.0702077928175667	0.49355130462	4.92703534108e-05	0.00123764421357867	0.0045126926262309	0.0120445993111467	0.00238368797278233	0.180246990194
Bert Trautmann	0.00202614523999767	0.00600889904228	0.00785544813015333	0.000204935668453667	0.000412114906586333	0.0130894189876133	0.00128187817776	0.0197909748711833	0.000342953255065667	0.0957246016897667	0.0325220539768733	6.12824545451667e-05	0.00132168739705817	0.009111088495833	0.457132789096	0.115865137800667	0.237248590810333
Biddenden Maids	0.0246006741794333	0.0417139406265333	0.00127652587172533	0.00295701580289193	0.000644125364960667	0.0194963231869333	0.00894416308087667	0.0616492747857333	0.00499132670311667	0.190851918896	0.000741905218053667	0.0375745619237667	0.000656849342131	0.0323998215831333	0.000233088316583	0.000277925286154333	0.570990559832
Bill Brown (cricketer)	0.000657014082572333	7.75533970747667e-05	0.000308729706762667	8.88595353216667e-05	0.0001197449264428	0.00190273630391667	0.00219846405088267	0.0172528005327493	0.00590564548264667	0.0979162070771667	0.00976728129588333	0.000234858543722467	0.000152356394439833	4.81084581273333e-05	0.628380482618333	0.00174983562749133	0.233239321966333
Bill Newton	0.000400767499238	0.000209022420910333	0.00776293033357	0.0938996554834493	0.001502949154433	0.0512659646931333	0.000766051657902	0.02359510789226	0.000582869723237333	0.166036118899	0.000831418282534667	0.000434873577476333	0.00666752223172	0.00192537546697233	0.0410979106503333	0.410263826738667	0.192757635295
Bill O'Reilly (cricketer)	0.000751472488330633	0.00339510341154333	0.0277149445934667	0.00275373222782967	0.00445534754695667	0.0001269974040097	0.00570017947903667	0.02457186440434	0.000236123545451	0.224237913734	0.0135444307082667	0.000131320640795667	0.000252329210788533	0.000788603013012667	0.39987800311	0.0167173496793667	0.274744284803
Bill Ponsford	0.0098007126245	0.010812871002	0.0192912926794	0.000288332801671333	0.001917218160254	0.000267407319969	0.00355221586107433	0.04364161612553	0.001875485698844	0.139821057826	0.00430646518382333	0.0001097403614699	0.000125502083228867	0.000908738035912	0.479722534565	0.000590854359774	0.282967955311667
