	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
Adele (singer)	0.7	0.7	1.6	0	0.1	0	0.1	25.7	51.1	4.2	0.7	0	0	0	3.8	0	11.2
Adolf Hitler	0.9	1	0	0	3.3	4.9	0	0.5	0.1	5	35.7	0.6	3.1	0.1	0.1	13.7	31.1
Barack Obama	0	11.1	6.7	0	1.5	2.6	0.1	10.6	0.3	6.1	44.6	1	0	0.2	0.5	4.4	10.4
Eminem	0	0.8	0.1	0	1.7	7.4	1.4	10.5	49.7	1.2	1.4	0	0.8	0	0.1	0	24.8
Justin Bieber	0.1	5.8	0.6	0.2	0.2	2.3	0.1	24.2	43.7	2.7	0.4	0.6	0.2	0	1.2	0.2	17.5
Lionel Messi	0	1.4	0.7	0	0.2	0	0	6.4	0	1.8	0.1	0	0.1	0.4	81	0	7.9
Mitt Romney	0.1	12.3	2.8	0.1	1.6	0.8	0	1.5	0	4.6	44.7	1.9	0	1	2.6	0.1	26
Nicki Minaj	0.1	1.4	0.1	0.1	0.2	0.2	0.4	20.9	43.9	0.3	0.1	0.1	0.1	0.1	0.1	0	32
Rihanna	1.3	0.1	0.1	0	0.4	2.8	0.1	20.4	61.1	1.2	0.1	0	0.3	0	0.1	0.8	10.9
Whitney Houston	0.6	0.4	0.2	0	0.3	0.7	0	26	46.1	3.3	0.7	0.1	0.2	0	0.7	0	20.8
