#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
A._E._J._Collins	cricket,0.3576086956521739	family,0.20108695652173914	military,0.13369565217391305	politics,0.09130434782608696	sports,0.08369565217391305	royalty,0.042391304347826085	literature,0.029347826086956522	explorers,0.02717391304347826	music,0.02608695652173913	church/royalty,0.007608695652173913
Aaron_Sorkin	literature,0.48700641241984477	family,0.21700978737765778	music,0.11171110361120486	sports,0.06378670266621667	politics,0.05636179547755653	military,0.022612217347283158	royalty,0.017887276409044885	explorers,0.01282483968950388	cricket,0.008774890313871077	church/royalty,0.0020249746878164025
Abbas_Kiarostami	literature,0.5678906917164817	family,0.27867919157415316	music,0.05863933959578708	politics,0.023341873042983206	explorers,0.020779960148021633	sports,0.017079419299743808	church/royalty,0.01138627953316254	military,0.009962994591517222	cricket,0.007685738684884714	royalty,0.004554511813265016
Abdul_Karim_(the_Munshi)	royalty,0.45597014925373136	family,0.35895522388059703	explorers,0.06716417910447761	literature,0.05335820895522388	politics,0.030223880597014925	military,0.01082089552238806	sports,0.007835820895522387	cricket,0.0070895522388059705	music,0.004477611940298508	church/royalty,0.004104477611940298
Abu_Nidal	explorers,0.492686494392979	family,0.29692832764505117	military,0.09117503656752804	literature,0.0348610433934666	politics,0.03266699171136031	church/royalty,0.015358361774744027	royalty,0.012676743052169674	sports,0.008532423208191127	music,0.0078010726474890294	cricket,0.007313505607020965
AC_DC	sports,0.11538461538461539	military,0.11538461538461539	literature,0.09615384615384616	explorers,0.09615384615384616	music,0.09615384615384616	church/royalty,0.09615384615384616	family,0.09615384615384616	politics,0.09615384615384616	royalty,0.09615384615384616	cricket,0.09615384615384616
Adam_Gilchrist	cricket,0.7555410691003911	family,0.10278139939156888	sports,0.09169926119078661	politics,0.018687527162103434	literature,0.007822685788787484	music,0.00651890482398957	military,0.0047805302042590175	royalty,0.004345936549326379	explorers,0.003911342894393742	church/royalty,0.003911342894393742
Adelaide_Anne_Procter	literature,0.4930156121610518	family,0.294987674609696	royalty,0.08463434675431389	music,0.03368940016433854	politics,0.031224322103533278	church/royalty,0.020542317173377157	military,0.01725554642563681	sports,0.013968775677896467	explorers,0.005751848808545604	cricket,0.0049301561216105174
Adolfo_Farsari	literature,0.5150624540778839	family,0.26671565025716387	explorers,0.05878030859662013	music,0.05804555473916238	military,0.03159441587068332	politics,0.019103600293901544	royalty,0.019103600293901544	church/royalty,0.01322556943423953	sports,0.011756061719324026	cricket,0.006612784717119765
Adrian_Boult	music,0.5397614314115308	family,0.2276341948310139	royalty,0.06792577866136515	literature,0.04440026507620941	military,0.04108681245858184	sports,0.02584493041749503	politics,0.025182239893969515	cricket,0.017229953611663355	explorers,0.0066269052352551355	church/royalty,0.004307488402915839
Adrian_Cole_(RAAF_officer)	military,0.7531347962382445	family,0.10109717868338558	politics,0.03526645768025078	royalty,0.025078369905956112	explorers,0.023510971786833857	cricket,0.02115987460815047	sports,0.014106583072100314	literature,0.0109717868338558	music,0.009404388714733543	church/royalty,0.006269592476489028
Aeneas_Mackintosh	explorers,0.5447582575394926	family,0.2929631402584969	military,0.04164672091910005	literature,0.030636668262326472	cricket,0.022498803255146003	politics,0.02202010531354715	royalty,0.02106270943034945	sports,0.011010052656773576	music,0.006701771182383916	church/royalty,0.006701771182383916
Afonso,_Prince_Imperial_of_Brazil	church/royalty,0.35365853658536583	family,0.2759146341463415	royalty,0.19054878048780488	literature,0.05945121951219512	military,0.0350609756097561	politics,0.027439024390243903	sports,0.018292682926829267	explorers,0.018292682926829267	cricket,0.012195121951219513	music,0.009146341463414634
Ahmose_I	church/royalty,0.6185883384480491	family,0.2099956159579132	literature,0.06049978079789566	explorers,0.0263042525208242	royalty,0.021481806225339763	music,0.02104340201665936	politics,0.01841297676457694	military,0.012275317843051293	cricket,0.00657606313020605	sports,0.004822446295484437
Alain_Prost	sports,0.6874424316856003	family,0.20325452870739943	explorers,0.025176542830825915	military,0.021492170709241632	cricket,0.015044519496469143	royalty,0.013509364445809026	literature,0.01289530242554498	politics,0.007982806263432606	music,0.007061713233036537	church/royalty,0.006140620202640466
Albert,_Prince_Consort	royalty,0.5382899628252789	family,0.25576208178438664	literature,0.06802973977695168	politics,0.05055762081784387	military,0.03494423791821561	church/royalty,0.017100371747211896	sports,0.01412639405204461	cricket,0.007806691449814126	music,0.007063197026022305	explorers,0.006319702602230483
Albert_Kesselring	military,0.6278713629402757	family,0.23464352560830357	politics,0.044070103794452954	church/royalty,0.033180193976518634	royalty,0.020588735749532076	explorers,0.01854687765866939	literature,0.008677896886166412	sports,0.004764335545346265	music,0.00408371618172537	cricket,0.0035732516590096988
Albert_Speer	family,0.367156862745098	military,0.3656862745098039	literature,0.1053921568627451	politics,0.0784313725490196	explorers,0.023284313725490197	church/royalty,0.020098039215686276	royalty,0.018137254901960786	cricket,0.009558823529411765	sports,0.006862745098039216	music,0.005392156862745098
Alboin	church/royalty,0.6223849372384938	family,0.25627615062761505	royalty,0.028242677824267783	explorers,0.02405857740585774	sports,0.01778242677824268	politics,0.016387726638772665	military,0.012203626220362623	literature,0.010460251046025104	cricket,0.007322175732217573	music,0.0048814504881450485
Alcibiades	church/royalty,0.47004722843649016	family,0.3348247576435496	military,0.053691275167785234	explorers,0.04449415858811832	politics,0.04325130499627144	literature,0.02535421327367636	sports,0.010937111608252548	royalty,0.00820283370618941	cricket,0.00571712652249565	music,0.003479990057171265
Aldfrith_of_Northumbria	church/royalty,0.7174044875682232	family,0.12067919951485749	royalty,0.07580351728320193	literature,0.02850212249848393	cricket,0.013947847180109158	music,0.01212856276531231	explorers,0.010915706488781079	military,0.007883565797453002	politics,0.0066707095209217705	sports,0.006064281382656155
Alexander_Cameron_Rutherford	politics,0.644200173560891	family,0.23170378941278566	royalty,0.03557998264391091	literature,0.031819496673416256	military,0.013306334972519526	church/royalty,0.011859994214636968	sports,0.010702921608330923	cricket,0.008967312698871854	explorers,0.008388776395718832	music,0.0034712178189181373
Alexander_of_Lincoln	royalty,0.7730851825340014	family,0.07659269863994274	church/royalty,0.06299212598425197	military,0.020758768790264854	politics,0.015748031496062992	sports,0.015032211882605583	literature,0.015032211882605583	explorers,0.007874015748031496	music,0.006442376521116679	cricket,0.006442376521116679
Alexandra_of_Denmark	royalty,0.5262708244340025	family,0.2815036309269543	literature,0.04527979495941905	military,0.04186245194361384	politics,0.023067065356685176	church/royalty,0.021785561725758223	explorers,0.018795386586928663	music,0.016232379325074753	cricket,0.014096539940196497	sports,0.011106364801366937
Alexandre_Banza	explorers,0.5206073752711496	family,0.25813449023861174	politics,0.09761388286334056	military,0.049168474331164135	church/royalty,0.018076644974692697	music,0.014461315979754157	cricket,0.01373825018076645	royalty,0.011569052783803326	sports,0.010845986984815618	literature,0.005784526391901663
Alexis_Bachelot	explorers,0.4757914338919926	family,0.2011173184357542	royalty,0.15549348230912477	church/royalty,0.06238361266294227	literature,0.027932960893854747	military,0.023277467411545624	politics,0.019553072625698324	music,0.01303538175046555	sports,0.0111731843575419	cricket,0.010242085661080074
Alfred_Russel_Wallace	literature,0.48511415525114154	family,0.33315068493150685	explorers,0.06319634703196347	politics,0.0445662100456621	royalty,0.03525114155251142	military,0.012054794520547946	church/royalty,0.01004566210045662	cricket,0.005844748858447489	music,0.005479452054794521	sports,0.0052968036529680365
Alice_Ayres	family,0.3746922698178237	literature,0.31462333825701627	royalty,0.09059576563269325	military,0.07040866568193008	politics,0.060561299852289516	explorers,0.035942885278188084	sports,0.021664204825209258	church/royalty,0.012309207287050714	cricket,0.009847365829640572	music,0.009354997538158542
Alice_in_Chains	music,0.7552351527634741	family,0.1678681771369722	explorers,0.021283899759697907	sports,0.015104703055269482	politics,0.013731548232063165	literature,0.006865774116031583	royalty,0.0054926192928252664	cricket,0.005149330587023687	military,0.004806041881222108	church/royalty,0.004462753175420529
Alister_Murdoch	military,0.7517630465444288	family,0.14950634696755993	politics,0.02538787023977433	royalty,0.015514809590973202	explorers,0.014809590973201692	cricket,0.014809590973201692	sports,0.010578279266572637	literature,0.00846262341325811	church/royalty,0.004936530324400564	music,0.004231311706629055
Ambrose_Rookwood	royalty,0.5371621621621622	family,0.2956081081081081	explorers,0.06672297297297297	music,0.019425675675675675	church/royalty,0.019425675675675675	military,0.016047297297297296	literature,0.015202702702702704	politics,0.014358108108108109	sports,0.010135135135135136	cricket,0.0059121621621621625
Andrew_Cunningham,_1st_Viscount_Cunningham_of_Hyndhope	military,0.5989469065379552	family,0.20052654673102238	royalty,0.08336989907854322	explorers,0.03992979376919702	politics,0.017112768758227294	literature,0.016235190873189996	church/royalty,0.014480035103115402	sports,0.013163668275559455	cricket,0.010530934620447565	music,0.005704256252742431
André_Kertész	literature,0.5510009532888466	family,0.23260247855100094	explorers,0.06387035271687322	music,0.03098188751191611	royalty,0.030505243088655862	politics,0.02478551000953289	military,0.021448999046711152	sports,0.02001906577693041	church/royalty,0.016205910390848427	cricket,0.008579599618684462
Angus_Lewis_Macdonald	politics,0.5362204724409448	family,0.26325459317585304	royalty,0.050131233595800524	military,0.049606299212598425	explorers,0.03359580052493438	literature,0.025984251968503937	cricket,0.01627296587926509	sports,0.011286089238845144	music,0.009448818897637795	church/royalty,0.004199475065616798
Ann_Bannon	literature,0.5533216783216783	family,0.3586829836829837	music,0.021853146853146852	politics,0.019230769230769232	explorers,0.017773892773892772	sports,0.01078088578088578	military,0.007284382284382284	cricket,0.004662004662004662	royalty,0.003787878787878788	church/royalty,0.0026223776223776225
Anna_Laetitia_Barbauld	literature,0.5654782915637134	family,0.26826685492410873	politics,0.049417578538651606	royalty,0.049417578538651606	church/royalty,0.026826685492410872	explorers,0.012354394634662902	cricket,0.010589481115425344	music,0.007765619484645252	sports,0.0056477232615601836	military,0.004235792446170138
Anna_May_Wong	literature,0.6039829302987197	family,0.23726884779516358	music,0.03869132290184922	explorers,0.032147937411095305	sports,0.02930298719772404	royalty,0.01849217638691323	politics,0.013940256045519203	military,0.013655761024182077	cricket,0.007396870554765292	church/royalty,0.005120910384068279
Anna_of_East_Anglia	church/royalty,0.7627906976744186	family,0.0937984496124031	royalty,0.06511627906976744	politics,0.01937984496124031	literature,0.01627906976744186	sports,0.013953488372093023	music,0.008527131782945736	explorers,0.007751937984496124	military,0.006201550387596899	cricket,0.006201550387596899
Anne_of_Denmark	royalty,0.5233118971061094	family,0.34686495176848875	literature,0.0409967845659164	church/royalty,0.023311897106109324	explorers,0.02009646302250804	sports,0.010852090032154342	military,0.01004823151125402	music,0.01004823151125402	politics,0.008038585209003215	cricket,0.006430868167202572
Anton_Chekhov	literature,0.440320962888666	family,0.35255767301905716	royalty,0.06168505516549649	music,0.04312938816449348	military,0.031093279839518557	explorers,0.03009027081243731	church/royalty,0.01805416248746239	politics,0.01053159478435306	sports,0.007522567703109328	cricket,0.0050150451354062184
Archie_Jackson	cricket,0.661046511627907	family,0.22093023255813954	royalty,0.022674418604651164	politics,0.020930232558139535	explorers,0.01744186046511628	literature,0.015697674418604653	music,0.013953488372093023	sports,0.011046511627906977	military,0.011046511627906977	church/royalty,0.005232558139534884
Arrest_and_assassination_of_Ngo_Dinh_Diem	explorers,0.5214408233276158	family,0.3133218982275586	politics,0.07318467695826186	military,0.05460263007432819	royalty,0.012292738707833047	music,0.00686106346483705	sports,0.006003430531732418	church/royalty,0.005431675242995998	cricket,0.0037164093767867354	literature,0.0031446540880503146
Art_Houtteman	sports,0.7424892703862661	family,0.1427038626609442	politics,0.024141630901287552	cricket,0.023605150214592276	explorers,0.02092274678111588	military,0.017703862660944206	literature,0.009656652360515022	music,0.009656652360515022	church/royalty,0.004828326180257511	royalty,0.004291845493562232
Art_Ross	sports,0.7498795180722891	family,0.12433734939759036	politics,0.04144578313253012	military,0.030361445783132532	literature,0.01253012048192771	cricket,0.00963855421686747	music,0.009156626506024097	royalty,0.009156626506024097	explorers,0.008674698795180723	church/royalty,0.004819277108433735
Arthur_Morris	cricket,0.8005312726394591	family,0.13644047331562426	sports,0.013764791113257667	politics,0.01207437816952427	military,0.009176527408838444	music,0.007486114465105047	royalty,0.005795701521371649	church/royalty,0.005554213957981164	literature,0.005312726394590679	explorers,0.003863801014247766
Arthur_Percival	military,0.5745379876796715	family,0.23080082135523614	royalty,0.06365503080082136	explorers,0.04271047227926078	cricket,0.027104722792607804	literature,0.024640657084188913	politics,0.014373716632443531	church/royalty,0.00862422997946612	music,0.008213552361396304	sports,0.0053388090349075976
Arthur_Sifton	politics,0.6502873563218391	family,0.2508620689655172	royalty,0.03333333333333333	military,0.015229885057471264	literature,0.01293103448275862	sports,0.010632183908045977	church/royalty,0.009770114942528735	cricket,0.008620689655172414	explorers,0.00603448275862069	music,0.0022988505747126436
Aspasia	church/royalty,0.47878787878787876	literature,0.22848484848484849	family,0.20606060606060606	politics,0.02909090909090909	military,0.015151515151515152	royalty,0.012121212121212121	explorers,0.009696969696969697	music,0.007272727272727273	cricket,0.007272727272727273	sports,0.006060606060606061
