#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Aaron_Sorkin	film/tv,0.4341317365269461	sports,0.11976047904191617	music,0.11077844311377245	politics,0.09281437125748503	literature,0.0658682634730539	art,0.04790419161676647	military,0.04491017964071856	orchestra,0.041916167664670656	royalty,0.023952095808383235	royalty/religion,0.017964071856287425
Abbas_Kiarostami	film/tv,0.34913793103448276	literature,0.31654094827586204	military,0.15247844827586207	art,0.10264008620689655	music,0.03178879310344827	sports,0.01912715517241379	orchestra,0.013200431034482759	politics,0.005926724137931034	royalty,0.005387931034482759	royalty/religion,0.003771551724137931
AC_DC	music,0.7539936102236422	literature,0.08146964856230032	military,0.0516506922257721	sports,0.023429179978700747	film/tv,0.0231629392971246	art,0.01863684771033014	royalty,0.016240681576144837	orchestra,0.012513312034078808	politics,0.011714589989350373	royalty/religion,0.00718849840255591
Adam_Gilchrist	sports,0.7623762376237624	music,0.052805280528052806	film/tv,0.0297029702970297	orchestra,0.0297029702970297	royalty,0.0297029702970297	art,0.0231023102310231	literature,0.019801980198019802	military,0.019801980198019802	royalty/religion,0.0165016501650165	politics,0.0165016501650165
Adolfo_Farsari	art,0.513978494623656	literature,0.22508960573476702	military,0.12616487455197134	politics,0.04659498207885305	music,0.02795698924731183	sports,0.015770609318996417	film/tv,0.012186379928315413	royalty/religion,0.011469534050179211	orchestra,0.011469534050179211	royalty,0.00931899641577061
Adrian_Boult	orchestra,0.3383458646616541	literature,0.13533834586466165	politics,0.09022556390977443	art,0.08270676691729323	military,0.08270676691729323	royalty,0.07518796992481203	royalty/religion,0.05263157894736842	sports,0.05263157894736842	film/tv,0.045112781954887216	music,0.045112781954887216
Ahmôsis_Ier	royalty/religion,0.49901224812327144	military,0.2374555511655472	literature,0.10904780719083366	art,0.053338601343342555	royalty,0.040300276570525484	sports,0.018569735282497037	orchestra,0.01619913077834848	music,0.010272619517977083	politics,0.008297115764519953	film/tv,0.0075069142631371
Alain_Prost	film/tv,0.39201183431952663	sports,0.28353057199211046	military,0.1873767258382643	literature,0.042899408284023666	royalty,0.023175542406311637	politics,0.02021696252465483	art,0.01873767258382643	music,0.01725838264299803	orchestra,0.007889546351084813	royalty/religion,0.006903353057199211
Albert_Chandler	politics,0.40836653386454186	sports,0.19721115537848605	military,0.14807436918990705	literature,0.11155378486055777	film/tv,0.05976095617529881	music,0.024568393094289508	art,0.01593625498007968	orchestra,0.014608233731739707	royalty,0.013280212483399735	royalty/religion,0.006640106241699867
Albert_de_Saxe-Cobourg-Gotha	royalty,0.5099818511796733	military,0.15245009074410162	literature,0.0780399274047187	art,0.07441016333938294	politics,0.06170598911070781	sports,0.032667876588021776	film/tv,0.02722323049001815	orchestra,0.025408348457350273	music,0.021778584392014518	royalty/religion,0.016333938294010888
Albert_Kesselring	politics,0.4963283750706082	military,0.3594426661645641	art,0.06590096027113537	literature,0.031820749388062515	royalty,0.014309922801732254	orchestra,0.009790999811711542	royalty/religion,0.009602711353794013	sports,0.005648653737525889	music,0.003765769158350593	film/tv,0.0033891922425155338
