#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Aaron_Sorkin	film/tv,0.4880952380952381	sports,0.12797619047619047	music,0.12797619047619047	politics,0.0625	family life,0.047619047619047616	orchestra,0.041666666666666664	literature + other,0.03869047619047619	military,0.02976190476190476	church/royalty,0.020833333333333332	royalty,0.01488095238095238
Abbas_Kiarostami	literature + other,0.31614110101549975	film/tv,0.23650454302512025	family life,0.23490112239444147	military,0.08738642437199359	orchestra,0.04409406734366649	music,0.03500801710315339	sports,0.02057723142704436	politics,0.012560128273650455	church/royalty,0.006680919294494923	royalty,0.006146445750935329
AC_DC	music,0.7231012658227848	family life,0.1284282700421941	military,0.05327004219409283	film/tv,0.03243670886075949	sports,0.02109704641350211	orchestra,0.011075949367088608	royalty,0.009757383966244726	church/royalty,0.00870253164556962	literature + other,0.007911392405063292	politics,0.004219409282700422
Adam_Gilchrist	sports,0.7639344262295082	family life,0.036065573770491806	music,0.03278688524590164	politics,0.029508196721311476	film/tv,0.02622950819672131	church/royalty,0.02622950819672131	military,0.022950819672131147	orchestra,0.022950819672131147	literature + other,0.019672131147540985	royalty,0.019672131147540985
Adolfo_Farsari	family life,0.5716312056737589	politics,0.11418439716312057	literature + other,0.08865248226950355	military,0.07163120567375887	orchestra,0.05319148936170213	music,0.04822695035460993	film/tv,0.01773049645390071	sports,0.014184397163120567	royalty,0.010638297872340425	church/royalty,0.009929078014184398
Adrian_Boult	orchestra,0.3283582089552239	family life,0.14925373134328357	literature + other,0.08208955223880597	military,0.08208955223880597	royalty,0.07462686567164178	film/tv,0.06716417910447761	sports,0.05970149253731343	politics,0.05970149253731343	music,0.05223880597014925	church/royalty,0.04477611940298507
Ahmôsis_Ier	church/royalty,0.49725274725274726	family life,0.2217425431711146	military,0.1369701726844584	literature + other,0.06397174254317112	royalty,0.02708006279434851	orchestra,0.016483516483516484	sports,0.01098901098901099	politics,0.01098901098901099	film/tv,0.010596546310832025	music,0.003924646781789639
Alain_Prost	sports,0.6501956947162426	military,0.11986301369863013	family life,0.10273972602739725	royalty,0.049902152641878667	orchestra,0.023972602739726026	politics,0.014187866927592954	music,0.01223091976516634	literature + other,0.011252446183953033	film/tv,0.008806262230919765	church/royalty,0.00684931506849315
Albert_Chandler	politics,0.34539473684210525	sports,0.18552631578947368	military,0.15526315789473685	family life,0.1256578947368421	film/tv,0.09671052631578947	music,0.039473684210526314	literature + other,0.017763157894736842	royalty,0.017763157894736842	church/royalty,0.010526315789473684	orchestra,0.0059210526315789476
Albert_de_Saxe-Cobourg-Gotha	royalty,0.4963768115942029	military,0.12681159420289856	family life,0.125	politics,0.07608695652173914	literature + other,0.03985507246376811	orchestra,0.03985507246376811	sports,0.03260869565217391	church/royalty,0.02355072463768116	film/tv,0.021739130434782608	music,0.018115942028985508
Albert_Kesselring	military,0.6812816188870152	politics,0.18980700768221848	family life,0.04272062956717257	church/royalty,0.019486602960464682	royalty,0.01929923177815252	literature + other,0.01854974704890388	orchestra,0.012366498032602586	sports,0.006370620198613453	film/tv,0.005433764287052651	music,0.00468427955780401
Albert_Speer_(père)	military,0.5234294541709578	politics,0.21009268795056643	family life,0.1199794026776519	literature + other,0.07312049433573635	sports,0.015447991761071062	orchestra,0.015447991761071062	church/royalty,0.01416065911431514	royalty,0.012358393408856848	film/tv,0.009268795056642637	music,0.006694129763130793
Albert_Victor_de_Galles	royalty,0.5410447761194029	military,0.10914179104477612	family life,0.1044776119402985	politics,0.09701492537313433	film/tv,0.0457089552238806	literature + other,0.030783582089552237	church/royalty,0.026119402985074626	sports,0.017723880597014924	music,0.01585820895522388	orchestra,0.012126865671641791
Alboïn	church/royalty,0.4627831715210356	military,0.11974110032362459	royalty,0.08090614886731391	orchestra,0.06796116504854369	literature + other,0.061488673139158574	family life,0.05501618122977346	politics,0.05177993527508091	sports,0.04854368932038835	film/tv,0.032362459546925564	music,0.019417475728155338
Alcibiade	literature + other,0.33695652173913043	church/royalty,0.09782608695652174	orchestra,0.09239130434782608	politics,0.08152173913043478	royalty,0.08152173913043478	military,0.07608695652173914	film/tv,0.07065217391304347	family life,0.05434782608695652	sports,0.05434782608695652	music,0.05434782608695652
